media_id,split,group_id,notes
IMG_007520,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007521,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007522,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007523,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007524,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007525,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007526,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007527,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007528,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007529,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007530,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007531,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007532,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007533,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007534,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007535,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007536,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007537,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007538,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007539,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007540,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007541,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007542,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007543,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007544,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007545,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007546,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007547,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007548,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007549,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007550,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007551,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007552,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007553,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007554,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007555,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007556,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007557,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007558,train,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007559,train,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007560,train,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007561,train,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007562,train,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007563,train,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007564,train,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007565,train,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007566,train,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
IMG_007567,train,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,"parking_order_violation v1.1 group-level frozen split; train=DEV, validation=VAL, holdout=HOLDOUT; GT_BASIS=generation_intent"
