source_id,slug,file_stem,group_key,scenario_id,role,event_label,split,image_path,prompt_path,sha256,width,height
1,pov-b1-0001-p01-outside-legal-bay-clear-front-center,001_pov-b1-0001-p01-outside-legal-bay-clear-front-center,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/001_pov-b1-0001-p01-outside-legal-bay-clear-front-center.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/001_pov-b1-0001-p01-outside-legal-bay-clear-front-center.txt,35fd6f09cc5058905dacb3e2c3098930ece62568b7cd4693b5e308e5dc326472,1920,1080
2,pov-b1-0002-p01-outside-legal-bay-clear-front-left,002_pov-b1-0002-p01-outside-legal-bay-clear-front-left,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/002_pov-b1-0002-p01-outside-legal-bay-clear-front-left.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/002_pov-b1-0002-p01-outside-legal-bay-clear-front-left.txt,0ac07929df37198dc40d070eae1572dc3dc0f3c40e6051a5fca984e999030676,1920,1080
3,pov-b1-0003-p01-outside-legal-bay-clear-front-right,003_pov-b1-0003-p01-outside-legal-bay-clear-front-right,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/003_pov-b1-0003-p01-outside-legal-bay-clear-front-right.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/003_pov-b1-0003-p01-outside-legal-bay-clear-front-right.txt,ff0a602e17a29d88005ba4c34738e4109716e0a7b507ba23a1c9141c63b10e21,1920,1080
4,pov-b1-0004-p01-outside-legal-bay-clear-front-center,004_pov-b1-0004-p01-outside-legal-bay-clear-front-center,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/004_pov-b1-0004-p01-outside-legal-bay-clear-front-center.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/004_pov-b1-0004-p01-outside-legal-bay-clear-front-center.txt,f9356a8ec08462b119432041521ee95bc38aa614c8113840ea2163a9475accfe,1920,1080
5,pov-b1-0005-p01-outside-legal-bay-clear-front-left,005_pov-b1-0005-p01-outside-legal-bay-clear-front-left,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/005_pov-b1-0005-p01-outside-legal-bay-clear-front-left.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/005_pov-b1-0005-p01-outside-legal-bay-clear-front-left.txt,262716fe416364a2a3c92434537b2182f1149ccca9ca2e6ec445c234da511fb1,1920,1080
6,pov-b1-0006-p01-outside-legal-bay-clear-front-right,006_pov-b1-0006-p01-outside-legal-bay-clear-front-right,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/006_pov-b1-0006-p01-outside-legal-bay-clear-front-right.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/006_pov-b1-0006-p01-outside-legal-bay-clear-front-right.txt,e58d1f33401fb0671f8aabb59abb2f97defe18496aa16b75ad2cb89ac1f302d1,1920,1080
7,pov-b1-0007-p01-outside-legal-bay-clear-front-center,007_pov-b1-0007-p01-outside-legal-bay-clear-front-center,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/007_pov-b1-0007-p01-outside-legal-bay-clear-front-center.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/007_pov-b1-0007-p01-outside-legal-bay-clear-front-center.txt,7e1acbb327a9f4577548c2ba93abcf0b17ee8b696f9987d4e81f34f1a8061d5f,1920,1080
8,pov-b1-0008-p01-outside-legal-bay-clear-front-left,008_pov-b1-0008-p01-outside-legal-bay-clear-front-left,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/008_pov-b1-0008-p01-outside-legal-bay-clear-front-left.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/008_pov-b1-0008-p01-outside-legal-bay-clear-front-left.txt,2e417531062eed85ca3d715a29639e0b2722bdc5346a948272de66c159b70e28,1920,1080
9,pov-b1-0009-p01-outside-legal-bay-clear-front-right,009_pov-b1-0009-p01-outside-legal-bay-clear-front-right,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/009_pov-b1-0009-p01-outside-legal-bay-clear-front-right.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/009_pov-b1-0009-p01-outside-legal-bay-clear-front-right.txt,4b94b3c00ba8a76a41e8be8de629e5378a860ea72b646fc9f2a796cac3ee7e6d,1920,1080
10,pov-b1-0010-p01-outside-legal-bay-clear-front-center,010_pov-b1-0010-p01-outside-legal-bay-clear-front-center,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/final/010_pov-b1-0010-p01-outside-legal-bay-clear-front-center.png,/home/yanbo/下载/batch_20260902_115647_parking-order-violation-batch1-400-retry/prompts/010_pov-b1-0010-p01-outside-legal-bay-clear-front-center.txt,ce0389699c20b59dc2543bc4de4bd409bd193a120353c152ccde3a99a4770d07,1920,1080
