source_id,media_id,relative_path,sha256,group_key,group_id,sample_role,original_event_label,split,v1_2_gt,evaluation_scope,mapping_basis,gt_basis,gt_review_status
41,IMG_007559,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007559.png,f2f4a8a8e9595db41a6d5815025c881c8b22b1e0d0e04ac8822528f6c4a76b7c,p02-cross-single-boundary-line,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,positive,1,train,boundary_unresolved,boundary_challenge,p02 requires per-image Human Gold,generation_intent_shadow,unreviewed
42,IMG_007560,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007560.png,a1709030715bf45e78216506f40ad352eeeb9c5d1f816802b697d28cbd4659ea,p02-cross-single-boundary-line,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,positive,1,train,boundary_unresolved,boundary_challenge,p02 requires per-image Human Gold,generation_intent_shadow,unreviewed
43,IMG_007561,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007561.png,fbf0840b5295eebd50448505300464dc7a2963b90f8b16709ec4a1b94e5a4ec5,p02-cross-single-boundary-line,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,positive,1,train,boundary_unresolved,boundary_challenge,p02 requires per-image Human Gold,generation_intent_shadow,unreviewed
44,IMG_007562,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007562.png,e98d3f068c7e7ff0d6a731ab924fff48d66316d0dcaf320ea721c3ee9aefb426,p02-cross-single-boundary-line,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,positive,1,train,boundary_unresolved,boundary_challenge,p02 requires per-image Human Gold,generation_intent_shadow,unreviewed
45,IMG_007563,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007563.png,c8a23e574214ae421807d2fae50f3617aeedd235a07f7cbc78550a4b384bc856,p02-cross-single-boundary-line,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,positive,1,train,boundary_unresolved,boundary_challenge,p02 requires per-image Human Gold,generation_intent_shadow,unreviewed
46,IMG_007564,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007564.png,fc06c9c4695ca7cc59409261cd0293f6e9b080ee97f9247bbbd0c4b14c150cda,p02-cross-single-boundary-line,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,positive,1,train,boundary_unresolved,boundary_challenge,p02 requires per-image Human Gold,generation_intent_shadow,unreviewed
47,IMG_007565,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007565.png,0eacb9a070bf7cbf5561242969165c0662f30e6e46f7562ac9439da3305dc26e,p02-cross-single-boundary-line,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,positive,1,train,boundary_unresolved,boundary_challenge,p02 requires per-image Human Gold,generation_intent_shadow,unreviewed
48,IMG_007566,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007566.png,e04d0f3a4f8673963d759b1ba3fc278174c4f9124fc60c4ac93804fdd4d8bdcf,p02-cross-single-boundary-line,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,positive,1,train,boundary_unresolved,boundary_challenge,p02 requires per-image Human Gold,generation_intent_shadow,unreviewed
49,IMG_007567,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007567.png,2979fa0ff121e30d013e8bc2d521676102a57e5f13ac6f363ef14cc4e324a5e3,p02-cross-single-boundary-line,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,positive,1,train,boundary_unresolved,boundary_challenge,p02 requires per-image Human Gold,generation_intent_shadow,unreviewed
50,IMG_007568,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007568.png,e193369ca3e7ed96f96f3b91ec9b44fb9d1cf273355594f42380204426ea137c,p02-cross-single-boundary-line,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,positive,1,train,boundary_unresolved,boundary_challenge,p02 requires per-image Human Gold,generation_intent_shadow,unreviewed
