source_id,media_id,relative_path,sha256,group_key,group_id,sample_role,original_event_label,split,v1_2_gt,evaluation_scope,mapping_basis,gt_basis,gt_review_status
1,IMG_007520,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007520.png,35fd6f09cc5058905dacb3e2c3098930ece62568b7cd4693b5e308e5dc326472,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,positive,primary_binary,v1.2 positive-core subgroup mapping,generation_intent_shadow,unreviewed
2,IMG_007521,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007521.png,0ac07929df37198dc40d070eae1572dc3dc0f3c40e6051a5fca984e999030676,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,positive,primary_binary,v1.2 positive-core subgroup mapping,generation_intent_shadow,unreviewed
3,IMG_007522,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007522.png,ff0a602e17a29d88005ba4c34738e4109716e0a7b507ba23a1c9141c63b10e21,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,positive,primary_binary,v1.2 positive-core subgroup mapping,generation_intent_shadow,unreviewed
4,IMG_007523,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007523.png,f9356a8ec08462b119432041521ee95bc38aa614c8113840ea2163a9475accfe,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,positive,primary_binary,v1.2 positive-core subgroup mapping,generation_intent_shadow,unreviewed
5,IMG_007524,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007524.png,262716fe416364a2a3c92434537b2182f1149ccca9ca2e6ec445c234da511fb1,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,positive,primary_binary,v1.2 positive-core subgroup mapping,generation_intent_shadow,unreviewed
6,IMG_007525,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007525.png,e58d1f33401fb0671f8aabb59abb2f97defe18496aa16b75ad2cb89ac1f302d1,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,positive,primary_binary,v1.2 positive-core subgroup mapping,generation_intent_shadow,unreviewed
7,IMG_007526,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007526.png,7e1acbb327a9f4577548c2ba93abcf0b17ee8b696f9987d4e81f34f1a8061d5f,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,positive,primary_binary,v1.2 positive-core subgroup mapping,generation_intent_shadow,unreviewed
8,IMG_007527,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007527.png,2e417531062eed85ca3d715a29639e0b2722bdc5346a948272de66c159b70e28,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,positive,primary_binary,v1.2 positive-core subgroup mapping,generation_intent_shadow,unreviewed
9,IMG_007528,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007528.png,4b94b3c00ba8a76a41e8be8de629e5378a860ea72b646fc9f2a796cac3ee7e6d,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,positive,primary_binary,v1.2 positive-core subgroup mapping,generation_intent_shadow,unreviewed
10,IMG_007529,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007529.png,ce0389699c20b59dc2543bc4de4bd409bd193a120353c152ccde3a99a4770d07,p01-outside-legal-bay-clear,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,positive,1,train,positive,primary_binary,v1.2 positive-core subgroup mapping,generation_intent_shadow,unreviewed
