source_id,media_id,relative_path,sha256,group_key,group_id,sample_role,original_event_label,split,v1_2_gt,evaluation_scope,mapping_basis,gt_basis,gt_review_status
41,IMG_007559,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007559.png,f2f4a8a8e9595db41a6d5815025c881c8b22b1e0d0e04ac8822528f6c4a76b7c,p02-cross-single-boundary-line,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,positive,1,train,boundary_unresolved,boundary_challenge,p02 requires per-image Human Gold,generation_intent_shadow,unreviewed
49,IMG_007567,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007567.png,2979fa0ff121e30d013e8bc2d521676102a57e5f13ac6f363ef14cc4e324a5e3,p02-cross-single-boundary-line,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,positive,1,train,boundary_unresolved,boundary_challenge,p02 requires per-image Human Gold,generation_intent_shadow,unreviewed
58,IMG_007576,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007576.png,a28e080ddb02680d63958e55fc3cca895b3e6a0d01bed541bfa62f0dc52ce903,p02-cross-single-boundary-line,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,positive,1,train,boundary_unresolved,boundary_challenge,p02 requires per-image Human Gold,generation_intent_shadow,unreviewed
67,IMG_007585,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007585.png,09919ee92ec0b250a631597105f6b82b093a9dabf191cd11e169c900658e1507,p02-cross-single-boundary-line,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,positive,1,train,boundary_unresolved,boundary_challenge,p02 requires per-image Human Gold,generation_intent_shadow,unreviewed
75,IMG_007593,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007593.png,cd5e8f47b91c0c7e5051d1f9bb5e6a95ec02a197a66bfb234ef886b385d6ce63,p02-cross-single-boundary-line,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,positive,1,train,boundary_unresolved,boundary_challenge,p02 requires per-image Human Gold,generation_intent_shadow,unreviewed
361,IMG_007677,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007677.png,3f3dbbee559621e532eb727d4b1332cad71ae44ab7dd48c6bf78c203ef8923f7,u01-insufficient-parking-visual-evidence,POV_PARKING_B1_U01_INSUFFICIENT_PARKING_VISUAL_EVIDENCE,uncertain,uncertain,train,uncertain,gt_uncertain,v1.2 uncertain subgroup retained,generation_intent_shadow,unreviewed
368,IMG_007684,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007684.png,fef2749a59f5eb3e394e8b3c66ab81e3edac3aaed4a79db1ec9f29ef14815909,u01-insufficient-parking-visual-evidence,POV_PARKING_B1_U01_INSUFFICIENT_PARKING_VISUAL_EVIDENCE,uncertain,uncertain,train,uncertain,gt_uncertain,v1.2 uncertain subgroup retained,generation_intent_shadow,unreviewed
375,IMG_007691,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007691.png,35ba786d03032c9a7ea60a35ed096c86ae2b2be8b0cac92adf0790118ee01cf7,u01-insufficient-parking-visual-evidence,POV_PARKING_B1_U01_INSUFFICIENT_PARKING_VISUAL_EVIDENCE,uncertain,uncertain,train,uncertain,gt_uncertain,v1.2 uncertain subgroup retained,generation_intent_shadow,unreviewed
393,IMG_007709,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007709.png,e919b543d841ab0a10698ec3dc13b85b812eb2fae1f187d230de5f3d291fdb44,u04-night-or-blur-boundary-unreadable,POV_PARKING_B1_U04_NIGHT_OR_BLUR_BOUNDARY_UNREADABLE,uncertain,uncertain,train,uncertain,gt_uncertain,v1.2 uncertain subgroup retained,generation_intent_shadow,unreviewed
398,IMG_007714,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007714.png,356b3025552e46203ee9fea8d4909536a9c6949991a060e358a4d465f7c770f3,u05-gate-queue-or-parking-ambiguous,POV_PARKING_B1_U05_GATE_QUEUE_OR_PARKING_AMBIGUOUS,uncertain,uncertain,train,uncertain,gt_uncertain,v1.2 uncertain subgroup retained,generation_intent_shadow,unreviewed
