source_id,media_id,relative_path,image_sha256,group_key,sample_role,v1_2_gt,evaluation_scope,pilot_stratum,geometry_state,geometry_confidence,reason_code,input_detection_count,eligible_detection_count,detector_latency_seconds,geometry_latency_seconds,total_logical_latency_seconds,is_error,error_category
1,IMG_007520,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007520.png,35fd6f09cc5058905dacb3e2c3098930ece62568b7cd4693b5e308e5dc326472,p01-outside-legal-bay-clear,positive,positive,primary_binary,p01_positive,insufficient,none,no_vehicle_level_decisive_geometry,1,1,0.784764,0.08496507300878875,0.8697290730087888,True,slot_structure_failure
3,IMG_007522,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007522.png,ff0a602e17a29d88005ba4c34738e4109716e0a7b507ba23a1c9141c63b10e21,p01-outside-legal-bay-clear,positive,positive,primary_binary,p01_positive,insufficient,none,no_vehicle_level_decisive_geometry,4,1,0.914447,0.10852616399643011,1.0229731639964301,True,line_detection_failure
5,IMG_007524,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007524.png,262716fe416364a2a3c92434537b2182f1149ccca9ca2e6ec445c234da511fb1,p01-outside-legal-bay-clear,positive,positive,primary_binary,p01_positive,insufficient,none,no_vehicle_level_decisive_geometry,1,1,0.067232,0.09986636799294502,0.16709836799294503,True,line_detection_failure
7,IMG_007526,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007526.png,7e1acbb327a9f4577548c2ba93abcf0b17ee8b696f9987d4e81f34f1a8061d5f,p01-outside-legal-bay-clear,positive,positive,primary_binary,p01_positive,insufficient,none,no_vehicle_level_decisive_geometry,4,4,0.063562,0.15298800299933646,0.21655000299933647,True,slot_structure_failure
9,IMG_007528,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007528.png,4b94b3c00ba8a76a41e8be8de629e5378a860ea72b646fc9f2a796cac3ee7e6d,p01-outside-legal-bay-clear,positive,positive,primary_binary,p01_positive,insufficient,none,no_vehicle_level_decisive_geometry,2,2,0.075362,0.16078150099201594,0.23614350099201592,True,line_detection_failure
11,IMG_007530,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007530.png,b8507d3968990975963936bd9112c102ea91f8d6ee5f6860c382f3534920506f,p01-outside-legal-bay-clear,positive,positive,primary_binary,p01_positive,insufficient,none,no_vehicle_level_decisive_geometry,2,2,0.083291,0.15020930400351062,0.23350030400351063,True,line_detection_failure
13,IMG_007532,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007532.png,4afd38d31893fb9de8fab0cc246643a0c7019bfbbd2961f66cecabc4d6ab0f31,p01-outside-legal-bay-clear,positive,positive,primary_binary,p01_positive,insufficient,none,no_vehicle_level_decisive_geometry,1,1,0.058088,0.04866805199708324,0.10675605199708324,True,line_detection_failure
15,IMG_007534,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007534.png,47bbb813df0ec3ddce5ccabf718efd3f8ff1525ca077bf9e3b506dbd04783656,p01-outside-legal-bay-clear,positive,positive,primary_binary,p01_positive,insufficient,none,no_vehicle_level_decisive_geometry,1,1,0.063547,0.06737908400828019,0.1309260840082802,True,line_detection_failure
17,IMG_007536,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007536.png,ff8320b9fa229dbe4fb3bf943b793c1800c1922365781e5ddd47404f7e84c780,p01-outside-legal-bay-clear,positive,positive,primary_binary,p01_positive,insufficient,none,no_vehicle_level_decisive_geometry,3,1,0.056447,0.11846787499962375,0.17491487499962374,True,line_detection_failure
19,IMG_007538,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007538.png,012a5130dcb865060ed547fe250f200d13d11a61adaa6435e2544adf84248ae0,p01-outside-legal-bay-clear,positive,positive,primary_binary,p01_positive,insufficient,none,no_vehicle_level_decisive_geometry,1,1,0.070801,0.067965459995321,0.138766459995321,True,line_detection_failure
21,IMG_007540,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007540.png,b098cc06023868902c46b0ea19b4a7a8e2fd450739d9f69a0144f037ae31643f,p01-outside-legal-bay-clear,positive,positive,primary_binary,p01_positive,insufficient,none,no_vehicle_level_decisive_geometry,1,1,0.05966,0.061642749002203345,0.12130274900220334,True,slot_structure_failure
23,IMG_007542,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007542.png,627b93eb15fe18566af3499d9d1ff1b99458e8874451f36528b821f06c5388d6,p01-outside-legal-bay-clear,positive,positive,primary_binary,p01_positive,insufficient,none,no_vehicle_level_decisive_geometry,2,1,0.056822,0.10027064300084021,0.1570926430008402,True,slot_structure_failure
26,IMG_007544,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007544.png,c246c7bb7f5a5d1f1788b5b0c2abdf6dd8c0f16ea40e6bde061d4e77d3e1767e,p01-outside-legal-bay-clear,positive,positive,primary_binary,p01_positive,insufficient,none,no_vehicle_level_decisive_geometry,7,7,0.068594,0.20019271499768365,0.26878671499768364,True,slot_structure_failure
28,IMG_007546,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007546.png,4258c9ddfdf0fa5fd4490e5e20c0ce3b07244de0f782cbaf136e32f2c52c685d,p01-outside-legal-bay-clear,positive,positive,primary_binary,p01_positive,insufficient,none,no_vehicle_level_decisive_geometry,6,6,0.058641,0.2128716899896972,0.2715126899896972,True,slot_structure_failure
30,IMG_007548,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007548.png,4f17bdfd1fce16f4bd783575464ee74fabb2eb6ae988f25e84d044c3757ef010,p01-outside-legal-bay-clear,positive,positive,primary_binary,p01_positive,insufficient,none,no_vehicle_level_decisive_geometry,1,1,0.079654,0.06263600300007965,0.14229000300007966,True,slot_structure_failure
