media_id,original_filename,v2_gt,target_bbox_hint,visual_basis,reviewer,review_date
IMG_007647,131_pov-b1-0131-p05-multi-vehicle-at-least-one-violation-front-center.png,positive,foreground_center_black_suv,separator_line_passes_beneath_left_vehicle_footprint_and_vehicle_occupies_both_sides,codex_visual_review,2026-09-08
IMG_007648,132_pov-b1-0132-p05-multi-vehicle-at-least-one-violation-front-left.png,positive,foreground_left_center_black_suv,separator_line_passes_beneath_left_vehicle_footprint_and_vehicle_occupies_both_sides,codex_visual_review,2026-09-08
IMG_007649,133_pov-b1-0133-p05-multi-vehicle-at-least-one-violation-front-right.png,positive,foreground_center_black_suv,separator_line_passes_beneath_left_vehicle_footprint_and_vehicle_occupies_both_sides,codex_visual_review,2026-09-08
IMG_007650,134_pov-b1-0134-p05-multi-vehicle-at-least-one-violation-front-center.png,positive,foreground_center_gray_mpv,separator_line_passes_beneath_center_right_vehicle_footprint,codex_visual_review,2026-09-08
IMG_007651,135_pov-b1-0135-p05-multi-vehicle-at-least-one-violation-front-left.png,positive,foreground_right_center_gray_mpv,separator_line_passes_beneath_right_vehicle_footprint_and_vehicle_occupies_both_sides,codex_visual_review,2026-09-08
IMG_007652,136_pov-b1-0136-p05-multi-vehicle-at-least-one-violation-front-right.png,negative,foreground_right_center_gray_mpv,no_separator_beneath_vehicle_and_vehicle_remains_within_one_bay,codex_visual_review,2026-09-08
IMG_007653,137_pov-b1-0137-p05-multi-vehicle-at-least-one-violation-front-center.png,negative,foreground_center_white_cargo_van,boundary_at_outer_left_tire_without_clear_two_bay_occupancy,codex_visual_review,2026-09-08
IMG_007654,138_pov-b1-0138-p05-multi-vehicle-at-least-one-violation-front-left.png,positive,foreground_left_center_white_cargo_van,separator_line_passes_beneath_left_vehicle_footprint_and_vehicle_occupies_both_sides,codex_visual_review,2026-09-08
IMG_007655,139_pov-b1-0139-p05-multi-vehicle-at-least-one-violation-front-right.png,positive,foreground_center_white_cargo_van,separator_line_passes_beneath_front_left_vehicle_footprint,codex_visual_review,2026-09-08
IMG_007656,140_pov-b1-0140-p05-multi-vehicle-at-least-one-violation-front-center.png,positive,foreground_center_gray_pickup,separator_line_passes_beneath_center_right_vehicle_footprint,codex_visual_review,2026-09-08
IMG_007657,141_pov-b1-0141-p05-multi-vehicle-at-least-one-violation-front-left.png,positive,foreground_right_center_gray_pickup,separator_line_passes_beneath_center_left_vehicle_footprint,codex_visual_review,2026-09-08
IMG_007658,142_pov-b1-0142-p05-multi-vehicle-at-least-one-violation-front-right.png,positive,foreground_center_gray_pickup,separator_line_passes_beneath_center_right_vehicle_footprint,codex_visual_review,2026-09-08
IMG_007659,143_pov-b1-0143-p05-multi-vehicle-at-least-one-violation-front-center.png,positive,foreground_center_red_hatchback,separator_line_passes_beneath_left_vehicle_footprint_and_vehicle_occupies_both_sides,codex_visual_review,2026-09-08
IMG_007660,144_pov-b1-0144-p05-multi-vehicle-at-least-one-violation-front-left.png,positive,foreground_center_red_hatchback,separator_line_passes_beneath_left_vehicle_footprint_and_vehicle_occupies_both_sides,codex_visual_review,2026-09-08
IMG_007661,145_pov-b1-0145-p05-multi-vehicle-at-least-one-violation-front-right.png,positive,foreground_left_center_red_hatchback,separator_line_passes_beneath_left_vehicle_footprint_and_vehicle_occupies_both_sides,codex_visual_review,2026-09-08
IMG_007662,146_pov-b1-0146-p05-multi-vehicle-at-least-one-violation-front-center.png,positive,foreground_center_white_crossover,separator_line_passes_beneath_center_right_vehicle_footprint,codex_visual_review,2026-09-08
IMG_007663,147_pov-b1-0147-p05-multi-vehicle-at-least-one-violation-front-left.png,positive,foreground_center_white_crossover,separator_line_passes_beneath_right_vehicle_footprint_and_vehicle_occupies_both_sides,codex_visual_review,2026-09-08
IMG_007664,148_pov-b1-0148-p05-multi-vehicle-at-least-one-violation-front-right.png,negative,foreground_right_center_white_crossover,no_separator_beneath_vehicle_and_vehicle_remains_within_one_bay,codex_visual_review,2026-09-08
IMG_007665,149_pov-b1-0149-p05-multi-vehicle-at-least-one-violation-front-center.png,positive,foreground_center_white_sedan,separator_line_passes_beneath_left_vehicle_footprint_and_vehicle_occupies_both_sides,codex_visual_review,2026-09-08
IMG_007666,150_pov-b1-0150-p05-multi-vehicle-at-least-one-violation-front-left.png,positive,foreground_center_white_sedan,separator_line_passes_beneath_center_right_vehicle_footprint,codex_visual_review,2026-09-08
