group_key,total,DEV,VAL,HOLDOUT,dev_below_5_alert
p01-outside-legal-bay-clear,39,23,8,8,false
p02-cross-single-boundary-line,35,21,7,7,false
p03-span-two-bays,30,18,6,6,false
p04-angled-footprint-outside,23,14,5,4,false
p05-multi-vehicle-at-least-one-violation,20,12,4,4,false
p06-nose-or-tail-intrudes-aisle,10,6,2,2,false
n01-standard-inside-bay,30,18,6,6,false
n02-close-to-line-but-inside,25,15,5,5,false
n03-diagonal-bay-correct,15,9,3,3,false
n04-parallel-bay-correct,15,9,3,3,false
n05-multiple-all-correct,15,9,3,3,false
n06-special-marked-space-geometry-correct,20,12,4,4,false
hn01-gate-queue,30,18,6,6,false
hn02-faded-lines-but-confirmably-inside,10,6,2,2,false
hn03-perspective-looks-like-crossing,10,6,2,2,false
hn04-large-vehicle-compliant,10,6,2,2,false
hn05-adjacent-vehicle-occludes-lines,10,6,2,2,false
hn06-shadows-cracks-curbs-mimic-lines,10,6,2,2,false
u01-insufficient-parking-visual-evidence,15,9,3,3,false
u02-markings-severely-missing-or-occluded,10,6,2,2,false
u03-vehicle-cut-by-frame-edge,5,3,1,1,true
u04-night-or-blur-boundary-unreadable,5,3,1,1,true
u05-gate-queue-or-parking-ambiguous,5,3,1,1,true
