media_id,group_key,v2_gt,target_bbox_hint,scope
IMG_007520,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007521,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007522,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007523,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007524,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007525,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007526,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007527,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007528,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007529,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007530,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007531,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007532,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007533,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007534,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007535,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007536,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007537,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007538,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007539,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007540,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007541,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007542,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007543,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007544,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007545,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007546,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007547,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007548,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007549,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007550,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007551,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007552,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007553,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007554,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007555,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007556,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007557,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007558,p01-outside-legal-bay-clear,positive,,primary_binary
IMG_007559,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007560,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007561,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007562,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007563,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007564,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007565,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007566,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007567,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007568,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007569,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007570,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007571,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007572,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007573,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007574,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007575,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007576,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007577,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007578,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007579,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007580,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007581,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007582,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007583,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007584,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007585,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007586,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007587,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007588,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007589,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007590,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007591,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007592,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007593,p02-cross-single-boundary-line,negative,,primary_binary
IMG_007594,p03-span-two-bays,positive,,primary_binary
IMG_007595,p03-span-two-bays,positive,,primary_binary
IMG_007596,p03-span-two-bays,positive,,primary_binary
IMG_007597,p03-span-two-bays,positive,,primary_binary
IMG_007598,p03-span-two-bays,positive,,primary_binary
IMG_007599,p03-span-two-bays,positive,,primary_binary
IMG_007600,p03-span-two-bays,positive,,primary_binary
IMG_007601,p03-span-two-bays,positive,,primary_binary
IMG_007602,p03-span-two-bays,positive,,primary_binary
IMG_007603,p03-span-two-bays,positive,,primary_binary
IMG_007604,p03-span-two-bays,positive,,primary_binary
IMG_007605,p03-span-two-bays,positive,,primary_binary
IMG_007606,p03-span-two-bays,positive,,primary_binary
IMG_007607,p03-span-two-bays,positive,,primary_binary
IMG_007608,p03-span-two-bays,positive,,primary_binary
IMG_007609,p03-span-two-bays,positive,,primary_binary
IMG_007610,p03-span-two-bays,positive,,primary_binary
IMG_007611,p03-span-two-bays,positive,,primary_binary
IMG_007612,p03-span-two-bays,positive,,primary_binary
IMG_007613,p03-span-two-bays,positive,,primary_binary
IMG_007614,p03-span-two-bays,positive,,primary_binary
IMG_007615,p03-span-two-bays,positive,,primary_binary
IMG_007616,p03-span-two-bays,positive,,primary_binary
IMG_007617,p03-span-two-bays,positive,,primary_binary
IMG_007618,p03-span-two-bays,positive,,primary_binary
IMG_007619,p03-span-two-bays,positive,,primary_binary
IMG_007620,p03-span-two-bays,positive,,primary_binary
IMG_007621,p03-span-two-bays,positive,,primary_binary
IMG_007622,p03-span-two-bays,positive,,primary_binary
IMG_007623,p03-span-two-bays,positive,,primary_binary
IMG_007624,p04-angled-footprint-outside,negative,,primary_binary
IMG_007625,p04-angled-footprint-outside,negative,,primary_binary
IMG_007626,p04-angled-footprint-outside,negative,,primary_binary
IMG_007627,p04-angled-footprint-outside,negative,,primary_binary
IMG_007628,p04-angled-footprint-outside,negative,,primary_binary
IMG_007629,p04-angled-footprint-outside,negative,,primary_binary
IMG_007630,p04-angled-footprint-outside,negative,,primary_binary
IMG_007631,p04-angled-footprint-outside,negative,,primary_binary
IMG_007632,p04-angled-footprint-outside,negative,,primary_binary
IMG_007633,p04-angled-footprint-outside,negative,,primary_binary
IMG_007634,p04-angled-footprint-outside,negative,,primary_binary
IMG_007635,p04-angled-footprint-outside,negative,,primary_binary
IMG_007636,p04-angled-footprint-outside,negative,,primary_binary
IMG_007637,p04-angled-footprint-outside,negative,,primary_binary
IMG_007638,p04-angled-footprint-outside,negative,,primary_binary
IMG_007639,p04-angled-footprint-outside,negative,,primary_binary
IMG_007640,p04-angled-footprint-outside,negative,,primary_binary
IMG_007641,p04-angled-footprint-outside,negative,,primary_binary
IMG_007642,p04-angled-footprint-outside,negative,,primary_binary
IMG_007643,p04-angled-footprint-outside,negative,,primary_binary
IMG_007644,p04-angled-footprint-outside,negative,,primary_binary
IMG_007645,p04-angled-footprint-outside,negative,,primary_binary
IMG_007646,p04-angled-footprint-outside,negative,,primary_binary
IMG_007647,p05-multi-vehicle-at-least-one-violation,positive,foreground_center_black_suv,primary_binary
IMG_007648,p05-multi-vehicle-at-least-one-violation,positive,foreground_left_center_black_suv,primary_binary
IMG_007649,p05-multi-vehicle-at-least-one-violation,positive,foreground_center_black_suv,primary_binary
IMG_007650,p05-multi-vehicle-at-least-one-violation,positive,foreground_center_gray_mpv,primary_binary
IMG_007651,p05-multi-vehicle-at-least-one-violation,positive,foreground_right_center_gray_mpv,primary_binary
IMG_007652,p05-multi-vehicle-at-least-one-violation,negative,foreground_right_center_gray_mpv,primary_binary
IMG_007653,p05-multi-vehicle-at-least-one-violation,negative,foreground_center_white_cargo_van,primary_binary
IMG_007654,p05-multi-vehicle-at-least-one-violation,positive,foreground_left_center_white_cargo_van,primary_binary
IMG_007655,p05-multi-vehicle-at-least-one-violation,positive,foreground_center_white_cargo_van,primary_binary
IMG_007656,p05-multi-vehicle-at-least-one-violation,positive,foreground_center_gray_pickup,primary_binary
IMG_007657,p05-multi-vehicle-at-least-one-violation,positive,foreground_right_center_gray_pickup,primary_binary
IMG_007658,p05-multi-vehicle-at-least-one-violation,positive,foreground_center_gray_pickup,primary_binary
IMG_007659,p05-multi-vehicle-at-least-one-violation,positive,foreground_center_red_hatchback,primary_binary
IMG_007660,p05-multi-vehicle-at-least-one-violation,positive,foreground_center_red_hatchback,primary_binary
IMG_007661,p05-multi-vehicle-at-least-one-violation,positive,foreground_left_center_red_hatchback,primary_binary
IMG_007662,p05-multi-vehicle-at-least-one-violation,positive,foreground_center_white_crossover,primary_binary
IMG_007663,p05-multi-vehicle-at-least-one-violation,positive,foreground_center_white_crossover,primary_binary
IMG_007664,p05-multi-vehicle-at-least-one-violation,negative,foreground_right_center_white_crossover,primary_binary
IMG_007665,p05-multi-vehicle-at-least-one-violation,positive,foreground_center_white_sedan,primary_binary
IMG_007666,p05-multi-vehicle-at-least-one-violation,positive,foreground_center_white_sedan,primary_binary
IMG_007667,p06-nose-or-tail-intrudes-aisle,negative,,primary_binary
IMG_007668,p06-nose-or-tail-intrudes-aisle,negative,,primary_binary
IMG_007669,p06-nose-or-tail-intrudes-aisle,negative,,primary_binary
IMG_007670,p06-nose-or-tail-intrudes-aisle,negative,,primary_binary
IMG_007671,p06-nose-or-tail-intrudes-aisle,negative,,primary_binary
IMG_007672,p06-nose-or-tail-intrudes-aisle,negative,,primary_binary
IMG_007673,p06-nose-or-tail-intrudes-aisle,negative,,primary_binary
IMG_007674,p06-nose-or-tail-intrudes-aisle,negative,,primary_binary
IMG_007675,p06-nose-or-tail-intrudes-aisle,negative,,primary_binary
IMG_007676,p06-nose-or-tail-intrudes-aisle,negative,,primary_binary
IMG_007400,n01-standard-inside-bay,negative,,primary_binary
IMG_007401,n01-standard-inside-bay,negative,,primary_binary
IMG_007402,n01-standard-inside-bay,negative,,primary_binary
IMG_007403,n01-standard-inside-bay,negative,,primary_binary
IMG_007404,n01-standard-inside-bay,negative,,primary_binary
IMG_007405,n01-standard-inside-bay,negative,,primary_binary
IMG_007406,n01-standard-inside-bay,negative,,primary_binary
IMG_007407,n01-standard-inside-bay,negative,,primary_binary
IMG_007408,n01-standard-inside-bay,negative,,primary_binary
IMG_007409,n01-standard-inside-bay,negative,,primary_binary
IMG_007410,n01-standard-inside-bay,negative,,primary_binary
IMG_007411,n01-standard-inside-bay,negative,,primary_binary
IMG_007412,n01-standard-inside-bay,negative,,primary_binary
IMG_007413,n01-standard-inside-bay,negative,,primary_binary
IMG_007414,n01-standard-inside-bay,negative,,primary_binary
IMG_007415,n01-standard-inside-bay,negative,,primary_binary
IMG_007416,n01-standard-inside-bay,negative,,primary_binary
IMG_007417,n01-standard-inside-bay,negative,,primary_binary
IMG_007418,n01-standard-inside-bay,negative,,primary_binary
IMG_007419,n01-standard-inside-bay,negative,,primary_binary
IMG_007420,n01-standard-inside-bay,negative,,primary_binary
IMG_007421,n01-standard-inside-bay,negative,,primary_binary
IMG_007422,n01-standard-inside-bay,negative,,primary_binary
IMG_007423,n01-standard-inside-bay,negative,,primary_binary
IMG_007424,n01-standard-inside-bay,negative,,primary_binary
IMG_007425,n01-standard-inside-bay,negative,,primary_binary
IMG_007426,n01-standard-inside-bay,negative,,primary_binary
IMG_007427,n01-standard-inside-bay,negative,,primary_binary
IMG_007428,n01-standard-inside-bay,negative,,primary_binary
IMG_007429,n01-standard-inside-bay,negative,,primary_binary
IMG_007430,n02-close-to-line-but-inside,negative,,primary_binary
IMG_007431,n02-close-to-line-but-inside,negative,,primary_binary
IMG_007432,n02-close-to-line-but-inside,negative,,primary_binary
IMG_007433,n02-close-to-line-but-inside,negative,,primary_binary
IMG_007434,n02-close-to-line-but-inside,negative,,primary_binary
IMG_007435,n02-close-to-line-but-inside,negative,,primary_binary
IMG_007436,n02-close-to-line-but-inside,negative,,primary_binary
IMG_007437,n02-close-to-line-but-inside,negative,,primary_binary
IMG_007438,n02-close-to-line-but-inside,negative,,primary_binary
IMG_007439,n02-close-to-line-but-inside,negative,,primary_binary
IMG_007440,n02-close-to-line-but-inside,negative,,primary_binary
IMG_007441,n02-close-to-line-but-inside,negative,,primary_binary
IMG_007442,n02-close-to-line-but-inside,negative,,primary_binary
IMG_007443,n02-close-to-line-but-inside,negative,,primary_binary
IMG_007444,n02-close-to-line-but-inside,negative,,primary_binary
IMG_007445,n02-close-to-line-but-inside,negative,,primary_binary
IMG_007446,n02-close-to-line-but-inside,negative,,primary_binary
IMG_007447,n02-close-to-line-but-inside,negative,,primary_binary
IMG_007448,n02-close-to-line-but-inside,negative,,primary_binary
IMG_007449,n02-close-to-line-but-inside,negative,,primary_binary
IMG_007450,n02-close-to-line-but-inside,negative,,primary_binary
IMG_007451,n02-close-to-line-but-inside,negative,,primary_binary
IMG_007452,n02-close-to-line-but-inside,negative,,primary_binary
IMG_007453,n02-close-to-line-but-inside,negative,,primary_binary
IMG_007454,n02-close-to-line-but-inside,negative,,primary_binary
IMG_007455,n03-diagonal-bay-correct,negative,,primary_binary
IMG_007456,n03-diagonal-bay-correct,negative,,primary_binary
IMG_007457,n03-diagonal-bay-correct,negative,,primary_binary
IMG_007458,n03-diagonal-bay-correct,negative,,primary_binary
IMG_007459,n03-diagonal-bay-correct,negative,,primary_binary
IMG_007460,n03-diagonal-bay-correct,negative,,primary_binary
IMG_007461,n03-diagonal-bay-correct,negative,,primary_binary
IMG_007462,n03-diagonal-bay-correct,negative,,primary_binary
IMG_007463,n03-diagonal-bay-correct,negative,,primary_binary
IMG_007464,n03-diagonal-bay-correct,negative,,primary_binary
IMG_007465,n03-diagonal-bay-correct,negative,,primary_binary
IMG_007466,n03-diagonal-bay-correct,negative,,primary_binary
IMG_007467,n03-diagonal-bay-correct,negative,,primary_binary
IMG_007468,n03-diagonal-bay-correct,negative,,primary_binary
IMG_007469,n03-diagonal-bay-correct,negative,,primary_binary
IMG_007470,n04-parallel-bay-correct,negative,,primary_binary
IMG_007471,n04-parallel-bay-correct,negative,,primary_binary
IMG_007472,n04-parallel-bay-correct,negative,,primary_binary
IMG_007473,n04-parallel-bay-correct,negative,,primary_binary
IMG_007474,n04-parallel-bay-correct,negative,,primary_binary
IMG_007475,n04-parallel-bay-correct,negative,,primary_binary
IMG_007476,n04-parallel-bay-correct,negative,,primary_binary
IMG_007477,n04-parallel-bay-correct,negative,,primary_binary
IMG_007478,n04-parallel-bay-correct,negative,,primary_binary
IMG_007479,n04-parallel-bay-correct,negative,,primary_binary
IMG_007480,n04-parallel-bay-correct,negative,,primary_binary
IMG_007481,n04-parallel-bay-correct,negative,,primary_binary
IMG_007482,n04-parallel-bay-correct,negative,,primary_binary
IMG_007483,n04-parallel-bay-correct,negative,,primary_binary
IMG_007484,n04-parallel-bay-correct,negative,,primary_binary
IMG_007485,n05-multiple-all-correct,negative,,primary_binary
IMG_007486,n05-multiple-all-correct,negative,,primary_binary
IMG_007487,n05-multiple-all-correct,negative,,primary_binary
IMG_007488,n05-multiple-all-correct,negative,,primary_binary
IMG_007489,n05-multiple-all-correct,negative,,primary_binary
IMG_007490,n05-multiple-all-correct,negative,,primary_binary
IMG_007491,n05-multiple-all-correct,negative,,primary_binary
IMG_007492,n05-multiple-all-correct,negative,,primary_binary
IMG_007493,n05-multiple-all-correct,negative,,primary_binary
IMG_007494,n05-multiple-all-correct,negative,,primary_binary
IMG_007495,n05-multiple-all-correct,negative,,primary_binary
IMG_007496,n05-multiple-all-correct,negative,,primary_binary
IMG_007497,n05-multiple-all-correct,negative,,primary_binary
IMG_007498,n05-multiple-all-correct,negative,,primary_binary
IMG_007499,n05-multiple-all-correct,negative,,primary_binary
IMG_007500,n06-special-marked-space-geometry-correct,negative,,primary_binary
IMG_007501,n06-special-marked-space-geometry-correct,negative,,primary_binary
IMG_007502,n06-special-marked-space-geometry-correct,negative,,primary_binary
IMG_007503,n06-special-marked-space-geometry-correct,negative,,primary_binary
IMG_007504,n06-special-marked-space-geometry-correct,negative,,primary_binary
IMG_007505,n06-special-marked-space-geometry-correct,negative,,primary_binary
IMG_007506,n06-special-marked-space-geometry-correct,negative,,primary_binary
IMG_007507,n06-special-marked-space-geometry-correct,negative,,primary_binary
IMG_007508,n06-special-marked-space-geometry-correct,negative,,primary_binary
IMG_007509,n06-special-marked-space-geometry-correct,negative,,primary_binary
IMG_007510,n06-special-marked-space-geometry-correct,negative,,primary_binary
