media_id,split
IMG_007537,VAL
IMG_007538,VAL
IMG_007544,VAL
IMG_007553,VAL
IMG_007532,VAL
IMG_007540,VAL
IMG_007526,VAL
IMG_007557,VAL
IMG_007550,HOLDOUT
IMG_007523,HOLDOUT
IMG_007546,HOLDOUT
IMG_007528,HOLDOUT
IMG_007525,HOLDOUT
IMG_007545,HOLDOUT
IMG_007543,HOLDOUT
IMG_007522,HOLDOUT
IMG_007579,VAL
IMG_007572,VAL
IMG_007563,VAL
IMG_007567,VAL
IMG_007591,VAL
IMG_007565,VAL
IMG_007573,VAL
IMG_007561,HOLDOUT
IMG_007568,HOLDOUT
IMG_007582,HOLDOUT
IMG_007578,HOLDOUT
IMG_007590,HOLDOUT
IMG_007589,HOLDOUT
IMG_007566,HOLDOUT
IMG_007596,VAL
IMG_007595,VAL
IMG_007600,VAL
IMG_007607,VAL
IMG_007613,VAL
IMG_007622,VAL
IMG_007619,HOLDOUT
IMG_007605,HOLDOUT
IMG_007616,HOLDOUT
IMG_007597,HOLDOUT
IMG_007623,HOLDOUT
IMG_007604,HOLDOUT
IMG_007641,VAL
IMG_007640,VAL
IMG_007630,VAL
IMG_007639,VAL
IMG_007628,VAL
IMG_007638,HOLDOUT
IMG_007645,HOLDOUT
IMG_007636,HOLDOUT
IMG_007624,HOLDOUT
IMG_007663,VAL
IMG_007649,VAL
IMG_007660,VAL
IMG_007662,VAL
IMG_007653,HOLDOUT
IMG_007657,HOLDOUT
IMG_007651,HOLDOUT
IMG_007666,HOLDOUT
IMG_007669,VAL
IMG_007671,VAL
IMG_007670,HOLDOUT
IMG_007668,HOLDOUT
IMG_007423,VAL
IMG_007418,VAL
IMG_007401,VAL
IMG_007411,VAL
IMG_007409,VAL
IMG_007414,VAL
IMG_007420,HOLDOUT
IMG_007408,HOLDOUT
IMG_007412,HOLDOUT
IMG_007402,HOLDOUT
IMG_007426,HOLDOUT
IMG_007403,HOLDOUT
IMG_007436,VAL
IMG_007432,VAL
IMG_007438,VAL
IMG_007443,VAL
IMG_007431,VAL
IMG_007448,HOLDOUT
IMG_007447,HOLDOUT
IMG_007451,HOLDOUT
IMG_007430,HOLDOUT
IMG_007452,HOLDOUT
IMG_007461,VAL
IMG_007459,VAL
IMG_007456,VAL
IMG_007462,HOLDOUT
IMG_007458,HOLDOUT
IMG_007464,HOLDOUT
IMG_007472,VAL
IMG_007476,VAL
IMG_007481,VAL
IMG_007478,HOLDOUT
IMG_007483,HOLDOUT
IMG_007474,HOLDOUT
IMG_007495,VAL
IMG_007489,VAL
IMG_007490,VAL
IMG_007493,HOLDOUT
IMG_007486,HOLDOUT
IMG_007496,HOLDOUT
IMG_007518,VAL
IMG_007504,VAL
IMG_007505,VAL
IMG_007513,VAL
IMG_007510,HOLDOUT
IMG_007502,HOLDOUT
IMG_007501,HOLDOUT
IMG_007515,HOLDOUT
IMG_007338,VAL
IMG_007339,VAL
IMG_007341,VAL
IMG_007342,VAL
IMG_007320,VAL
IMG_007333,VAL
IMG_007332,HOLDOUT
IMG_007345,HOLDOUT
IMG_007331,HOLDOUT
IMG_007330,HOLDOUT
IMG_007324,HOLDOUT
IMG_007325,HOLDOUT
IMG_007351,VAL
IMG_007352,VAL
IMG_007353,HOLDOUT
IMG_007356,HOLDOUT
IMG_007368,VAL
IMG_007362,VAL
IMG_007365,HOLDOUT
IMG_007369,HOLDOUT
IMG_007375,VAL
IMG_007378,VAL
IMG_007373,HOLDOUT
IMG_007372,HOLDOUT
IMG_007386,VAL
IMG_007382,VAL
IMG_007380,HOLDOUT
IMG_007381,HOLDOUT
IMG_007391,VAL
IMG_007395,VAL
IMG_007390,HOLDOUT
IMG_007398,HOLDOUT
IMG_007679,VAL
IMG_007681,VAL
IMG_007689,VAL
IMG_007690,HOLDOUT
IMG_007691,HOLDOUT
IMG_007680,HOLDOUT
IMG_007701,VAL
IMG_007699,VAL
IMG_007696,HOLDOUT
IMG_007698,HOLDOUT
IMG_007703,VAL
IMG_007705,HOLDOUT
IMG_007711,VAL
IMG_007708,HOLDOUT
IMG_007715,VAL
IMG_007716,HOLDOUT
