media_id,image_sha256,review_status,label_basis,human_gold,disputed,review_method,model_output_seen
IMG_007521,0ac07929df37198dc40d070eae1572dc3dc0f3c40e6051a5fca984e999030676,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007533,b3edf02484db2aa4b758c813ee19476939beb85f20b3fabec56e017e89d3de0c,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007548,4f17bdfd1fce16f4bd783575464ee74fabb2eb6ae988f25e84d044c3757ef010,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007555,b879ee48ab4cae9efcd4f91acd470ae42d1564602cd9b26fe99b0648632e9c30,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007554,34c443db5a3a90bccf980fc14a8a48f9275143c41dace05edeba2dfc7f9a3865,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007524,262716fe416364a2a3c92434537b2182f1149ccca9ca2e6ec445c234da511fb1,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007531,ad38ad7ee4e9725af3c640552f17acc6c63b0aa98be7acdf90f9d8007c8cad1b,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007536,ff8320b9fa229dbe4fb3bf943b793c1800c1922365781e5ddd47404f7e84c780,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007547,963a1794c8c5c7ca3f54267bcd2fc6c1c7bf0f8fd32286cf4d58edf6b5d7fe32,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007527,2e417531062eed85ca3d715a29639e0b2722bdc5346a948272de66c159b70e28,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007529,ce0389699c20b59dc2543bc4de4bd409bd193a120353c152ccde3a99a4770d07,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007542,627b93eb15fe18566af3499d9d1ff1b99458e8874451f36528b821f06c5388d6,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007620,aa1a054f53554e3cef1dab60604b3bca6011e95d443b5f78d604cf4babcdd374,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007598,3187844b1789cf8fd2e859424b78e02d7d817e0a8d2ac2a9954625abfc217217,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007594,52fecb2cfdc2a375990b44ceadd6a0328e734844b7f80e0b820e966778e1d0b1,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007599,b7394782827a2372ed408429b1a7339ece7e7f20b9430d4f004e813f883cb25b,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007603,7c54e1ed5972188c181242becb7170c5f33bb966e7bca852ce209dadfe278bf4,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007601,635e5c52f6a69bbc108df9de7227484b8c42d9aa6b9d3b76fc996483594c806c,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007612,b53ab51e67c6e4ca7a8e02874469dc3c0b7563c0d08cf91ec0c0e9c0d18f0af1,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007621,eb6200cb0efdaaac1b287d90fdf2a072c34eef2b48f330970cc61c1227f35846,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007617,bb9f96e8a24c76741e99cbcfb0bb0bbec45c15a731eb4003a50a8b49fc72be18,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007606,4c3161d0c72cc8aeffb0971eb4e719d82827cf4627386e3d07f770270aeb547e,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007602,98386e15dc5ef41f7e2573e8e5048834d0a4205aa29fc88875d3601fde598d34,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007611,35a5959bc49b68d1c99d3b86dd493860ee4d8ec8bbfc852d8a8ca0f9cbe56363,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007650,707813ea7a7b2f00c73a07b4bda1a6467a0e6390bba6dfa883b1831d9dbd2739,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007655,f2ae84613c6081fd7ad6517c3b54aee12af12e9ea22e99b023d785c59c2bbf84,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007652,051cf35297a38c1ad2ae3f3ff27c6de0d70e34101e77d06e4526557ab1c25d2c,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007664,85c36cc890c4d967ee2f83a7432a00c10149a7a1522c1f7569ed776bf178417e,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007658,b342ab3fa54b278ed3df9f1422768a78ef039394c61b9e83f29c4ed8df3c5e92,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007647,acb8803cbfb955dc0a72690c938c86f7ca8a561fcce3ede8e58514f288819b02,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007665,99acaa870bcf567c9b87e27d38c472d6eae743614657842a19deed195379630b,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007661,beaa3b6552e92a51eb1e0fd521dd742306700cd09b1fa722e379806b8f9c3cc0,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007580,2cc8d12dd6b689e39766a0cf398eccec256db57af4e3d795b29fbfe14123f0a7,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007585,09919ee92ec0b250a631597105f6b82b093a9dabf191cd11e169c900658e1507,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007570,564f57abeb11621386bd15d9a8794853f850271391be84a01e64d35f42eb0181,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007626,aa93382d3872cf38843388e36afd0119a8d72e98e4244118048a828abba47f0a,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007634,a78e65dd12331a2134dfdd5400b7e3b4ae70c229265bd8be27b66107f2629770,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
IMG_007635,28fae86953947d31b4608a02225f1ceb9e247b87ace70fb69e48403fba99eb71,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,original full image + numbered panorama + context crop,False
