source,row_index,audit_record
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,1,"{""image_id"": ""IMG_007548"", ""observation"": ""Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection."", ""run"": ""r0"", ""status"": ""confirmed_detector_miss"", ""target_id"": ""T01""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,2,"{""image_id"": ""IMG_007555"", ""observation"": ""Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection."", ""run"": ""r0"", ""status"": ""confirmed_detector_miss"", ""target_id"": ""T01""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,3,"{""image_id"": ""IMG_007555"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T05""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,4,"{""image_id"": ""IMG_007555"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T06""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,5,"{""image_id"": ""IMG_007555"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T07""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,6,"{""image_id"": ""IMG_007555"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T08""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,7,"{""image_id"": ""IMG_007554"", ""observation"": ""Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection."", ""run"": ""r0"", ""status"": ""confirmed_detector_miss"", ""target_id"": ""T01""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,8,"{""image_id"": ""IMG_007554"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T04""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,9,"{""image_id"": ""IMG_007531"", ""observation"": ""Explicit visual decision: clearly visible vehicle enclosed by yellow reference lacks a cyan full-vehicle detection."", ""run"": ""r0"", ""status"": ""confirmed_detector_miss"", ""target_id"": ""T01""}"
/home/yanbo/net_vlm_parking_optimization/18_v5_detector_footprint/01_detector_audit/unmatched_reference.csv,10,"{""image_id"": ""IMG_007531"", ""observation"": ""Small, occluded, overlapping or ambiguous reference identity/localization; contact sheet insufficient to confirm pairing."", ""run"": ""r0"", ""status"": ""unresolved_reference_matching"", ""target_id"": ""T03""}"
