media_id,group_key,legacy_v2_gt,proposed_v2_2_gt,review_status,review_notes
IMG_007559,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007560,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007561,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007562,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007563,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007564,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007565,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007566,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007567,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007568,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007569,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007570,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007571,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007572,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007573,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007574,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007575,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007576,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007577,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007578,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007579,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007580,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007581,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007582,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007583,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007584,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007585,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007586,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007587,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007588,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007589,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007590,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007591,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007592,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007593,p02-cross-single-boundary-line,negative,,needs_human_review,
IMG_007624,p04-angled-footprint-outside,negative,,needs_human_review,
IMG_007625,p04-angled-footprint-outside,negative,,needs_human_review,
IMG_007626,p04-angled-footprint-outside,negative,,needs_human_review,
IMG_007627,p04-angled-footprint-outside,negative,,needs_human_review,
IMG_007628,p04-angled-footprint-outside,negative,,needs_human_review,
IMG_007629,p04-angled-footprint-outside,negative,,needs_human_review,
IMG_007630,p04-angled-footprint-outside,negative,,needs_human_review,
IMG_007631,p04-angled-footprint-outside,negative,,needs_human_review,
IMG_007632,p04-angled-footprint-outside,negative,,needs_human_review,
IMG_007633,p04-angled-footprint-outside,negative,,needs_human_review,
