order,media_id,sample_token,image_path,image_sha256,group_key,event_label,stratum
1,IMG_007533,b3edf02484db2aa4b758c813ee19476939beb85f20b3fabec56e017e89d3de0c,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007533.png,b3edf02484db2aa4b758c813ee19476939beb85f20b3fabec56e017e89d3de0c,p01-outside-legal-bay-clear,positive,positive_p01
2,IMG_007556,2d2c27149d5340b1810e71d7ee266ee662e9162fd33fe39a3b00327c6216efce,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007556.png,2d2c27149d5340b1810e71d7ee266ee662e9162fd33fe39a3b00327c6216efce,p01-outside-legal-bay-clear,positive,positive_p01
3,IMG_007524,262716fe416364a2a3c92434537b2182f1149ccca9ca2e6ec445c234da511fb1,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007524.png,262716fe416364a2a3c92434537b2182f1149ccca9ca2e6ec445c234da511fb1,p01-outside-legal-bay-clear,positive,positive_p01
4,IMG_007542,627b93eb15fe18566af3499d9d1ff1b99458e8874451f36528b821f06c5388d6,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007542.png,627b93eb15fe18566af3499d9d1ff1b99458e8874451f36528b821f06c5388d6,p01-outside-legal-bay-clear,positive,positive_p01
5,IMG_007535,482bb14355c7906d97f027b7b4309cc0c5dc1ebcee2645df1107d5cb418869ac,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007535.png,482bb14355c7906d97f027b7b4309cc0c5dc1ebcee2645df1107d5cb418869ac,p01-outside-legal-bay-clear,positive,positive_p01
6,IMG_007530,b8507d3968990975963936bd9112c102ea91f8d6ee5f6860c382f3534920506f,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007530.png,b8507d3968990975963936bd9112c102ea91f8d6ee5f6860c382f3534920506f,p01-outside-legal-bay-clear,positive,positive_p01
7,IMG_007534,47bbb813df0ec3ddce5ccabf718efd3f8ff1525ca077bf9e3b506dbd04783656,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007534.png,47bbb813df0ec3ddce5ccabf718efd3f8ff1525ca077bf9e3b506dbd04783656,p01-outside-legal-bay-clear,positive,positive_p01
8,IMG_007536,ff8320b9fa229dbe4fb3bf943b793c1800c1922365781e5ddd47404f7e84c780,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007536.png,ff8320b9fa229dbe4fb3bf943b793c1800c1922365781e5ddd47404f7e84c780,p01-outside-legal-bay-clear,positive,positive_p01
9,IMG_007529,ce0389699c20b59dc2543bc4de4bd409bd193a120353c152ccde3a99a4770d07,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007529.png,ce0389699c20b59dc2543bc4de4bd409bd193a120353c152ccde3a99a4770d07,p01-outside-legal-bay-clear,positive,positive_p01
10,IMG_007551,3e649fb425db485aa2a92f42b71d46d2e1097e1060eacd886961c437d05915cc,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007551.png,3e649fb425db485aa2a92f42b71d46d2e1097e1060eacd886961c437d05915cc,p01-outside-legal-bay-clear,positive,positive_p01
11,IMG_007612,b53ab51e67c6e4ca7a8e02874469dc3c0b7563c0d08cf91ec0c0e9c0d18f0af1,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007612.png,b53ab51e67c6e4ca7a8e02874469dc3c0b7563c0d08cf91ec0c0e9c0d18f0af1,p03-span-two-bays,positive,positive_p03
12,IMG_007602,98386e15dc5ef41f7e2573e8e5048834d0a4205aa29fc88875d3601fde598d34,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007602.png,98386e15dc5ef41f7e2573e8e5048834d0a4205aa29fc88875d3601fde598d34,p03-span-two-bays,positive,positive_p03
13,IMG_007617,bb9f96e8a24c76741e99cbcfb0bb0bbec45c15a731eb4003a50a8b49fc72be18,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007617.png,bb9f96e8a24c76741e99cbcfb0bb0bbec45c15a731eb4003a50a8b49fc72be18,p03-span-two-bays,positive,positive_p03
14,IMG_007608,df6ffb2e8589f7942fa241c23f9e218430e62660aeac09d6575dbe50a0f14bfe,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007608.png,df6ffb2e8589f7942fa241c23f9e218430e62660aeac09d6575dbe50a0f14bfe,p03-span-two-bays,positive,positive_p03
15,IMG_007620,aa1a054f53554e3cef1dab60604b3bca6011e95d443b5f78d604cf4babcdd374,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007620.png,aa1a054f53554e3cef1dab60604b3bca6011e95d443b5f78d604cf4babcdd374,p03-span-two-bays,positive,positive_p03
16,IMG_007621,eb6200cb0efdaaac1b287d90fdf2a072c34eef2b48f330970cc61c1227f35846,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007621.png,eb6200cb0efdaaac1b287d90fdf2a072c34eef2b48f330970cc61c1227f35846,p03-span-two-bays,positive,positive_p03
17,IMG_007599,b7394782827a2372ed408429b1a7339ece7e7f20b9430d4f004e813f883cb25b,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007599.png,b7394782827a2372ed408429b1a7339ece7e7f20b9430d4f004e813f883cb25b,p03-span-two-bays,positive,positive_p03
18,IMG_007615,5eaac191f6729fbb18f737c783ad7bb3124a9e7f06cb80f33e551e64c84e8641,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007615.png,5eaac191f6729fbb18f737c783ad7bb3124a9e7f06cb80f33e551e64c84e8641,p03-span-two-bays,positive,positive_p03
19,IMG_007610,16cf61f70daa8b8dbc7c1432b2ce9dad8e9d6bf9e68bcbd068f50e8368f872e6,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007610.png,16cf61f70daa8b8dbc7c1432b2ce9dad8e9d6bf9e68bcbd068f50e8368f872e6,p03-span-two-bays,positive,positive_p03
20,IMG_007598,3187844b1789cf8fd2e859424b78e02d7d817e0a8d2ac2a9954625abfc217217,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007598.png,3187844b1789cf8fd2e859424b78e02d7d817e0a8d2ac2a9954625abfc217217,p03-span-two-bays,positive,positive_p03
21,IMG_007569,ecfa27073d391aeeac4957a3822e2ff300811817ea8e48e2ea812c2c63a9e1a2,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007569.png,ecfa27073d391aeeac4957a3822e2ff300811817ea8e48e2ea812c2c63a9e1a2,p02-cross-single-boundary-line,positive,positive_other
22,IMG_007634,a78e65dd12331a2134dfdd5400b7e3b4ae70c229265bd8be27b66107f2629770,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007634.png,a78e65dd12331a2134dfdd5400b7e3b4ae70c229265bd8be27b66107f2629770,p04-angled-footprint-outside,positive,positive_other
23,IMG_007559,f2f4a8a8e9595db41a6d5815025c881c8b22b1e0d0e04ac8822528f6c4a76b7c,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007559.png,f2f4a8a8e9595db41a6d5815025c881c8b22b1e0d0e04ac8822528f6c4a76b7c,p02-cross-single-boundary-line,positive,positive_other
24,IMG_007574,28e02888b85aa891b489e8211bb38f061b38ff272a51ccbe836082eaa40e9f14,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007574.png,28e02888b85aa891b489e8211bb38f061b38ff272a51ccbe836082eaa40e9f14,p02-cross-single-boundary-line,positive,positive_other
