media_id,group_key,gt,prediction,outside_yes,multibay_yes,vehicle_count
IMG_007533,p01-outside-legal-bay-clear,positive,negative,False,False,1
IMG_007556,p01-outside-legal-bay-clear,positive,negative,False,False,2
IMG_007524,p01-outside-legal-bay-clear,positive,negative,False,False,1
IMG_007542,p01-outside-legal-bay-clear,positive,negative,False,False,1
IMG_007535,p01-outside-legal-bay-clear,positive,negative,False,False,1
IMG_007530,p01-outside-legal-bay-clear,positive,negative,False,False,2
IMG_007534,p01-outside-legal-bay-clear,positive,negative,False,False,1
IMG_007536,p01-outside-legal-bay-clear,positive,negative,False,False,1
IMG_007529,p01-outside-legal-bay-clear,positive,positive,True,False,1
IMG_007551,p01-outside-legal-bay-clear,positive,negative,False,False,1
IMG_007612,p03-span-two-bays,positive,negative,False,False,1
IMG_007602,p03-span-two-bays,positive,negative,False,False,1
IMG_007617,p03-span-two-bays,positive,negative,False,False,1
IMG_007608,p03-span-two-bays,positive,negative,False,False,1
IMG_007620,p03-span-two-bays,positive,negative,False,False,1
IMG_007621,p03-span-two-bays,positive,negative,False,False,1
IMG_007599,p03-span-two-bays,positive,negative,False,False,2
IMG_007615,p03-span-two-bays,positive,negative,False,False,1
IMG_007610,p03-span-two-bays,positive,negative,False,False,2
IMG_007598,p03-span-two-bays,positive,negative,False,False,1
IMG_007569,p02-cross-single-boundary-line,positive,negative,False,False,1
IMG_007634,p04-angled-footprint-outside,positive,negative,False,False,2
IMG_007559,p02-cross-single-boundary-line,positive,negative,False,False,1
IMG_007574,p02-cross-single-boundary-line,positive,negative,False,False,1
IMG_007650,p05-multi-vehicle-at-least-one-violation,positive,negative,False,False,2
IMG_007570,p02-cross-single-boundary-line,positive,negative,False,False,1
IMG_007625,p04-angled-footprint-outside,positive,negative,False,False,1
IMG_007587,p02-cross-single-boundary-line,positive,negative,False,False,2
IMG_007658,p05-multi-vehicle-at-least-one-violation,positive,negative,False,False,1
IMG_007633,p04-angled-footprint-outside,positive,negative,False,False,1
IMG_007450,n02-close-to-line-but-inside,negative,negative,False,False,1
IMG_007446,n02-close-to-line-but-inside,negative,negative,False,False,1
IMG_007453,n02-close-to-line-but-inside,negative,negative,False,False,1
IMG_007405,n01-standard-inside-bay,negative,negative,False,False,1
IMG_007445,n02-close-to-line-but-inside,negative,negative,False,False,2
IMG_007435,n02-close-to-line-but-inside,negative,negative,False,False,1
IMG_007425,n01-standard-inside-bay,negative,negative,False,False,1
IMG_007428,n01-standard-inside-bay,negative,negative,False,False,1
IMG_007404,n01-standard-inside-bay,negative,negative,False,False,2
IMG_007413,n01-standard-inside-bay,negative,negative,False,False,2
IMG_007361,hn03-perspective-looks-like-crossing,negative,negative,False,False,2
IMG_007392,hn06-shadows-cracks-curbs-mimic-lines,negative,negative,False,False,1
IMG_007359,hn02-faded-lines-but-confirmably-inside,negative,negative,False,False,2
IMG_007397,hn06-shadows-cracks-curbs-mimic-lines,negative,negative,False,False,2
IMG_007350,hn02-faded-lines-but-confirmably-inside,negative,negative,False,False,1
IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,negative,negative,False,False,2
IMG_007376,hn04-large-vehicle-compliant,negative,negative,False,False,1
IMG_007366,hn03-perspective-looks-like-crossing,negative,negative,False,False,1
IMG_007354,hn02-faded-lines-but-confirmably-inside,negative,negative,False,False,1
IMG_007387,hn05-adjacent-vehicle-occludes-lines,negative,negative,False,False,2
IMG_007654,p05-multi-vehicle-at-least-one-violation,negative,negative,False,False,2
IMG_007637,p04-angled-footprint-outside,negative,negative,False,False,1
IMG_007562,p02-cross-single-boundary-line,negative,negative,False,False,1
IMG_007576,p02-cross-single-boundary-line,negative,negative,False,False,1
IMG_007629,p04-angled-footprint-outside,negative,negative,False,False,1
IMG_007626,p04-angled-footprint-outside,negative,negative,False,False,1
IMG_007644,p04-angled-footprint-outside,negative,negative,False,False,1
IMG_007583,p02-cross-single-boundary-line,negative,negative,False,False,1
IMG_007593,p02-cross-single-boundary-line,negative,negative,False,False,1
IMG_007664,p05-multi-vehicle-at-least-one-violation,negative,negative,False,False,2
IMG_007322,hn01-gate-queue,secondary_gate_queue,negative,True,False,1
IMG_007343,hn01-gate-queue,secondary_gate_queue,negative,False,False,1
IMG_007321,hn01-gate-queue,secondary_gate_queue,negative,False,False,1
IMG_007326,hn01-gate-queue,secondary_gate_queue,negative,False,False,1
IMG_007337,hn01-gate-queue,secondary_gate_queue,negative,False,False,1
IMG_007329,hn01-gate-queue,secondary_gate_queue,negative,False,False,2
IMG_007335,hn01-gate-queue,secondary_gate_queue,negative,False,False,1
IMG_007327,hn01-gate-queue,secondary_gate_queue,negative,False,False,1
IMG_007348,hn01-gate-queue,secondary_gate_queue,negative,False,False,2
IMG_007334,hn01-gate-queue,secondary_gate_queue,negative,False,False,1
