media_id,group_key,event_label,stratum,selected_rank,anchor_status,frozen_bbox,local_roi,ground_proxy_area,ground_proxy_centroid,ground_proxy_bbox,bottom_center,component_count
IMG_007533,p01-outside-legal-bay-clear,positive,positive_p01,1,ANCHOR_VALID,"[249.751,123.825,852.259,470.224]","[0,210.42475000000002,1454.767,730.02325]",33712,"[596.8423706691979,401.01002610346467]","[264,366,850,472]","[551.005,470.224]",1
IMG_007556,p01-outside-legal-bay-clear,positive,positive_p01,1,ANCHOR_VALID,"[299.703,248.408,1034.093,702.677]","[0,361.97524999999996,1768.4830000000002,1043.37875]",43068,"[741.306770688214,610.6203910095662]","[461,566,1027,700]","[666.898,702.677]",0
IMG_007556,p01-outside-legal-bay-clear,positive,positive_p01,2,ANCHOR_VALID,"[298.809,247.915,1031.182,702.985]","[0,361.6825,1763.555,1044.2875]",43068,"[741.306770688214,610.6203910095662]","[461,566,1027,700]","[664.9955,702.985]",0
IMG_007524,p01-outside-legal-bay-clear,positive,positive_p01,1,ANCHOR_VALID,"[328.011,239.123,1070.167,626.419]","[0,335.947,1812.3229999999999,916.891]",47305,"[754.8904766937956,548.5800866715992]","[357,510,1066,625]","[699.0889999999999,626.419]",1
IMG_007542,p01-outside-legal-bay-clear,positive,positive_p01,1,ANCHOR_VALID,"[369.182,263.367,1128.34,668.339]","[0,364.61,1887.4979999999998,972.0680000000001]",48259,"[846.7560040614186,592.4941876126733]","[531,546,1126,667]","[748.761,668.339]",1
IMG_007535,p01-outside-legal-bay-clear,positive,positive_p01,1,ANCHOR_VALID,"[699.814,215.514,1047.013,483.757]","[352.615,282.57475,1394.212,684.93925]",21465,"[878.7979967388773,434.3631959003028]","[705,403,1045,481]","[873.4134999999999,483.757]",1
IMG_007530,p01-outside-legal-bay-clear,positive,positive_p01,1,ANCHOR_VALID,"[436.324,136.107,1098.456,497.295]","[0,226.404,1760.5879999999997,768.1859999999999]",32262,"[671.0250759407352,426.45607835844027]","[441,388,1059,493]","[767.39,497.295]",1
IMG_007530,p01-outside-legal-bay-clear,positive,positive_p01,2,ANCHOR_VALID,"[436.42,137.121,1097.066,495.519]","[0,226.72050000000002,1757.712,764.3175]",32771,"[671.5820695126789,425.8432455524702]","[441,387,1060,493]","[766.743,495.519]",1
IMG_007534,p01-outside-legal-bay-clear,positive,positive_p01,1,ANCHOR_VALID,"[353.189,266.558,1050.277,618.707]","[0,354.59524999999996,1747.365,882.81875]",36859,"[770.2616186006131,548.0091700805773]","[378,513,1042,616]","[701.7330000000001,618.707]",2
IMG_007536,p01-outside-legal-bay-clear,positive,positive_p01,1,ANCHOR_VALID,"[652.45,236.014,1386.36,660.44]","[0,342.1205,1920,978.7595000000001]",49806,"[1101.4868088182147,580.383508011083]","[791,533,1381,658]","[1019.405,660.44]",1
