config_family_index,media_id,group_key,selected_rank,target_decision,target_trigger,caused_frame_positive,strong_separator,strong_in_bay,geometry_candidate_count
0,IMG_007350,hn02-faded-lines-but-confirmably-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
0,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
0,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
0,IMG_007413,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
0,IMG_007413,n01-standard-inside-bay,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
0,IMG_007425,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,5
0,IMG_007445,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
0,IMG_007445,n02-close-to-line-but-inside,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
0,IMG_007450,n02-close-to-line-but-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,4
0,IMG_007562,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,9
0,IMG_007593,p02-cross-single-boundary-line,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
0,IMG_007626,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,7
0,IMG_007637,p04-angled-footprint-outside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,1
1,IMG_007350,hn02-faded-lines-but-confirmably-inside,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
1,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
1,IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,2,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,2
1,IMG_007413,n01-standard-inside-bay,1,POSITIVE_OUTSIDE,OUTSIDE_FALLBACK_POSITIVE,True,False,False,3
