media_id,selected_rank,composite_path_local,composite_sha256,width,height,source_path,source_sha256,frozen_bbox,target_instance,crop_xyxy
IMG_007533,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007533_target1.jpg,1f35554b373f020d2675332ea260277e0233e031055784aac14d30a4b72ed449,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007533.png,b3edf02484db2aa4b758c813ee19476939beb85f20b3fabec56e017e89d3de0c,"[249.751,123.825,852.259,470.224]",0,"[0.0,0.0,1455.0,731.0]"
IMG_007556,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007556_target1.jpg,948883d98cb95ae5dd8ac36fd42df6f976529656a13e6f369d9ca4f4f570cf71,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007556.png,2d2c27149d5340b1810e71d7ee266ee662e9162fd33fe39a3b00327c6216efce,"[299.703,248.408,1034.093,702.677]",0,"[0.0,0.0,1769.0,1044.0]"
IMG_007556,2,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007556_target2.jpg,da18e00bc5adc759949270b59f816d7eb84ee99daed184d1d0a9023dcb9c0f9c,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007556.png,2d2c27149d5340b1810e71d7ee266ee662e9162fd33fe39a3b00327c6216efce,"[298.809,247.915,1031.182,702.985]",0,"[0.0,0.0,1764.0,1045.0]"
IMG_007542,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007542_target1.jpg,964dd1aeeb1e4f54c3a8c0408014558fe5cf921f1d895d91a1afd64f4df0b9f5,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007542.png,627b93eb15fe18566af3499d9d1ff1b99458e8874451f36528b821f06c5388d6,"[369.182,263.367,1128.34,668.339]",0,"[0.0,0.0,1888.0,973.0]"
IMG_007530,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007530_target1.jpg,ad4f1e8ee7529335ffcdcd1e6175c63c6e9c5196c0a2e77d167621341ce43414,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007530.png,b8507d3968990975963936bd9112c102ea91f8d6ee5f6860c382f3534920506f,"[436.324,136.107,1098.456,497.295]",0,"[0.0,0.0,1761.0,769.0]"
IMG_007530,2,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007530_target2.jpg,ff0ed81dda145fc644c74a46cd6bec44ada8d512ebadb4cef1d9671e43563fe6,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007530.png,b8507d3968990975963936bd9112c102ea91f8d6ee5f6860c382f3534920506f,"[436.42,137.121,1097.066,495.519]",0,"[0.0,0.0,1758.0,765.0]"
IMG_007534,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007534_target1.jpg,9c9ffbcddebe8994d0b9db9983dd242f6c51c5df99f108ef15f0fc5b78d7e1b4,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007534.png,47bbb813df0ec3ddce5ccabf718efd3f8ff1525ca077bf9e3b506dbd04783656,"[353.189,266.558,1050.277,618.707]",0,"[0.0,2.0,1748.0,883.0]"
IMG_007612,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007612_target1.jpg,32e5fbe6ec1d52d65d68d8e73414f88a5ed60d7786fa056fa13a2e911dcc1758,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007612.png,b53ab51e67c6e4ca7a8e02874469dc3c0b7563c0d08cf91ec0c0e9c0d18f0af1,"[651.083,232.256,1236.662,695.594]",0,"[65.0,0.0,1823.0,1044.0]"
IMG_007602,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007602_target1.jpg,a24d39bf79388c71d4c45fb079717ff9974165fb2779a9beba6e3581f437b935,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007602.png,98386e15dc5ef41f7e2573e8e5048834d0a4205aa29fc88875d3601fde598d34,"[496.297,70.401,1396.738,605.756]",0,"[0.0,0.0,1920.0,1008.0]"
IMG_007617,1,/home/yanbo/net_vlm_parking_optimization/24_parkscope_mask_grounded_vlm_p2_cal/_local_composites/IMG_007617_target1.jpg,f23e51917677839ea6f7381224394d25922ac2af3ffa78aa3e1308dc68e2d1a1,1792,672,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007617.png,bb9f96e8a24c76741e99cbcfb0bb0bbec45c15a731eb4003a50a8b49fc72be18,"[605.173,195.178,1237.908,651.629]",0,"[0.0,0.0,1871.0,994.0]"
