media_id,selected_rank,bbox_xyxy,source,selector_version,detector_sha
IMG_007350,1,"[598.911,189.18,1296.541,737.65]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007355,1,"[447.61,168.868,1357.229,707.876]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007357,1,"[665.745,131.485,1554.217,707.123]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007358,1,"[677.752,159.636,1187.195,644.409]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007359,1,"[433.557,19.645,1363.768,693.214]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007359,2,"[431.227,24.115,1363.002,691.374]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007360,1,"[691.802,58.213,1442.537,681.608]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007361,1,"[423.346,95.629,1416.277,704.553]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007361,2,"[423.346,96.641,1417.215,704.515]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
IMG_007363,1,"[598.57,181.389,1316.243,696.498]",v2.2 R0/R1 exact-equality historical selection artifact,v2.2-frozen,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
