media_id,label,group_id,fold
IMG_007350,negative,IMG_007350,0
IMG_007355,negative,IMG_007355,1
IMG_007357,negative,IMG_007357,2
IMG_007358,negative,IMG_007358,3
IMG_007359,negative,IMG_007359,4
IMG_007360,negative,IMG_007360,0
IMG_007361,negative,IMG_007361,1
IMG_007363,negative,IMG_007363,3
IMG_007364,negative,IMG_007364,4
IMG_007367,negative,IMG_007367,2
IMG_007370,negative,IMG_007370,0
IMG_007371,negative,IMG_007371,2
IMG_007374,negative,IMG_007374,3
IMG_007377,negative,IMG_007377,1
IMG_007379,negative,IMG_007379,4
IMG_007383,negative,IMG_007383,1
IMG_007384,negative,IMG_007384,4
IMG_007385,negative,IMG_007385,0
IMG_007388,negative,IMG_007388,2
IMG_007389,negative,IMG_007389,3
IMG_007392,negative,IMG_007392,0
IMG_007393,negative,IMG_007393,1
IMG_007394,negative,IMG_007394,2
IMG_007396,negative,IMG_007396,4
IMG_007399,negative,IMG_007399,3
IMG_007400,negative,IMG_007400,0
IMG_007404,negative,IMG_007404,1
IMG_007406,negative,IMG_007406,2
IMG_007407,negative,IMG_007407,3
IMG_007410,negative,IMG_007410,4
IMG_007413,negative,IMG_007413,0
IMG_007415,negative,IMG_007415,3
IMG_007416,negative,IMG_007416,1
IMG_007417,negative,IMG_007417,2
IMG_007419,negative,IMG_007419,4
IMG_007421,negative,IMG_007421,0
IMG_007422,negative,IMG_007422,3
IMG_007424,negative,IMG_007424,1
IMG_007425,negative,IMG_007425,2
IMG_007427,negative,IMG_007427,4
IMG_007429,negative,IMG_007429,0
IMG_007433,negative,IMG_007433,1
IMG_007434,negative,IMG_007434,2
IMG_007437,negative,IMG_007437,3
IMG_007439,negative,IMG_007439,4
IMG_007440,negative,IMG_007440,3
IMG_007441,negative,IMG_007441,0
IMG_007442,negative,IMG_007442,1
IMG_007444,negative,IMG_007444,4
IMG_007445,negative,IMG_007445,2
IMG_007449,negative,IMG_007449,2
IMG_007450,negative,IMG_007450,3
IMG_007454,negative,IMG_007454,0
IMG_007455,negative,IMG_007455,1
IMG_007457,negative,IMG_007457,4
IMG_007460,negative,IMG_007460,2
IMG_007463,negative,IMG_007463,3
IMG_007465,negative,IMG_007465,0
IMG_007466,negative,IMG_007466,1
IMG_007467,negative,IMG_007467,4
IMG_007468,negative,IMG_007468,0
IMG_007469,negative,IMG_007469,1
IMG_007470,negative,IMG_007470,2
IMG_007471,negative,IMG_007471,3
IMG_007473,negative,IMG_007473,4
IMG_007475,negative,IMG_007475,1
IMG_007477,negative,IMG_007477,0
IMG_007479,negative,IMG_007479,2
IMG_007480,negative,IMG_007480,3
IMG_007482,negative,IMG_007482,4
IMG_007484,negative,IMG_007484,1
IMG_007485,negative,IMG_007485,0
IMG_007487,negative,IMG_007487,2
IMG_007488,negative,IMG_007488,3
IMG_007491,negative,IMG_007491,4
IMG_007492,negative,IMG_007492,2
IMG_007494,negative,IMG_007494,0
IMG_007497,negative,IMG_007497,1
IMG_007498,negative,IMG_007498,4
IMG_007499,negative,IMG_007499,3
IMG_007500,negative,IMG_007500,0
IMG_007503,negative,IMG_007503,1
IMG_007506,negative,IMG_007506,2
IMG_007507,negative,IMG_007507,3
IMG_007508,negative,IMG_007508,4
IMG_007509,negative,IMG_007509,0
IMG_007511,negative,IMG_007511,1
IMG_007512,negative,IMG_007512,2
IMG_007514,negative,IMG_007514,4
