threshold,TP,FP,TN,FN,precision,recall,f1,fpr,balanced_accuracy,oof_frame_coverage
0.05,46,118,1,1,0.2804878048780488,0.9787234042553191,0.4360189573459715,0.9915966386554622,0.49356338279992845,1.0
0.1,46,113,6,1,0.2893081761006289,0.9787234042553191,0.4466019417475728,0.9495798319327731,0.514571786161273,1.0
0.15,45,107,12,2,0.29605263157894735,0.9574468085106383,0.4522613065326633,0.8991596638655462,0.529143572322546,1.0
0.2,44,99,20,3,0.3076923076923077,0.9361702127659575,0.4631578947368421,0.8319327731092437,0.5521187198283569,1.0
0.25,42,95,24,5,0.30656934306569344,0.8936170212765957,0.45652173913043476,0.7983193277310925,0.5476488467727516,1.0
0.3,40,92,27,7,0.30303030303030304,0.851063829787234,0.446927374301676,0.773109243697479,0.5389772930448775,1.0
0.35,40,79,40,7,0.33613445378151263,0.851063829787234,0.4819277108433735,0.6638655462184874,0.5935991417843733,1.0
0.4,39,77,42,8,0.33620689655172414,0.8297872340425532,0.47852760736196315,0.6470588235294118,0.5913642052565707,1.0
0.45,34,68,51,13,0.3333333333333333,0.723404255319149,0.4563758389261745,0.5714285714285714,0.5759878419452887,1.0
0.5,31,61,58,16,0.33695652173913043,0.6595744680851063,0.4460431654676259,0.5126050420168067,0.5734847130341498,1.0
0.55,26,49,70,21,0.3466666666666667,0.5531914893617021,0.4262295081967213,0.4117647058823529,0.5707133917396746,1.0
0.6,23,39,80,24,0.3709677419354839,0.48936170212765956,0.4220183486238532,0.3277310924369748,0.5808153048453424,1.0
0.65,19,30,89,28,0.3877551020408163,0.40425531914893614,0.39583333333333326,0.25210084033613445,0.5760772394064009,1.0
0.7,11,15,104,36,0.4230769230769231,0.23404255319148937,0.3013698630136986,0.12605042016806722,0.5539960665117111,1.0
0.75,7,8,111,40,0.4666666666666667,0.14893617021276595,0.22580645161290325,0.06722689075630252,0.5408546397282317,1.0
0.8,2,5,114,45,0.2857142857142857,0.0425531914893617,0.07407407407407407,0.04201680672268908,0.5002681923833363,1.0
0.85,1,2,117,46,0.3333333333333333,0.02127659574468085,0.04,0.01680672268907563,0.5022349365278026,1.0
0.9,0,0,119,47,0.0,0.0,0.0,0.0,0.5,1.0
0.95,0,0,119,47,0.0,0.0,0.0,0.0,0.5,1.0
