media_id,fold,gt,gt_binary,frame_logit,frame_probability,valid_target_count,status,target_probabilities,group_key,winner_threshold,strict_prediction
IMG_007647,4,negative,0,1.7255096435546875,0.8488371968269348,2,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.7741847634315491},{""selected_rank"":2,""target_probability"":0.8488371968269348}]",p05-multi-vehicle-at-least-one-violation,,N/A_NO_SAFE_THRESHOLD
IMG_007648,0,negative,0,-1.5377272367477417,0.17686590552330017,1,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.17686590552330017}]",p05-multi-vehicle-at-least-one-violation,,N/A_NO_SAFE_THRESHOLD
IMG_007650,1,positive,1,1.1167271137237549,0.7533811330795288,2,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.6264256238937378},{""selected_rank"":2,""target_probability"":0.7533811330795288}]",p05-multi-vehicle-at-least-one-violation,,N/A_NO_SAFE_THRESHOLD
IMG_007652,2,negative,0,1.1716870069503784,0.7634498476982117,2,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.36559319496154785},{""selected_rank"":2,""target_probability"":0.7634498476982117}]",p05-multi-vehicle-at-least-one-violation,,N/A_NO_SAFE_THRESHOLD
IMG_007654,3,negative,0,-2.38596248626709,0.08424940705299377,2,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.08424940705299377},{""selected_rank"":2,""target_probability"":0.08424940705299377}]",p05-multi-vehicle-at-least-one-violation,,N/A_NO_SAFE_THRESHOLD
IMG_007655,4,negative,0,-0.9408996105194092,0.2807186543941498,2,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.2807186543941498},{""selected_rank"":2,""target_probability"":0.2807186543941498}]",p05-multi-vehicle-at-least-one-violation,,N/A_NO_SAFE_THRESHOLD
IMG_007656,0,positive,1,0.8137660026550293,0.6929114460945129,2,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.5831847190856934},{""selected_rank"":2,""target_probability"":0.6929114460945129}]",p05-multi-vehicle-at-least-one-violation,,N/A_NO_SAFE_THRESHOLD
IMG_007658,1,positive,1,0.18023844063282013,0.5449380278587341,1,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.5449380278587341}]",p05-multi-vehicle-at-least-one-violation,,N/A_NO_SAFE_THRESHOLD
IMG_007659,3,positive,1,-0.13124307990074158,0.4672362506389618,2,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.2962777316570282},{""selected_rank"":2,""target_probability"":0.4672362506389618}]",p05-multi-vehicle-at-least-one-violation,,N/A_NO_SAFE_THRESHOLD
IMG_007661,2,negative,0,0.9289446473121643,0.7168611288070679,2,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.35306480526924133},{""selected_rank"":2,""target_probability"":0.7168611288070679}]",p05-multi-vehicle-at-least-one-violation,,N/A_NO_SAFE_THRESHOLD
IMG_007665,4,negative,0,0.9653164148330688,0.7241849303245544,2,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.7241849303245544},{""selected_rank"":2,""target_probability"":0.6356580853462219}]",p05-multi-vehicle-at-least-one-violation,,N/A_NO_SAFE_THRESHOLD
