media_id,qwen_frame_positive,qwen_candidate_fraction,selected_target_count,candidate_count,qwen_frame_decision
IMG_007350,0.0,0.0,1,0,negative
IMG_007355,0.0,0.0,1,0,negative
IMG_007357,0.0,0.0,1,0,negative
IMG_007358,0.0,0.0,1,0,negative
IMG_007359,0.0,0.0,2,0,negative
IMG_007360,1.0,1.0,1,1,positive
IMG_007361,1.0,1.0,2,2,positive
IMG_007363,1.0,1.0,1,1,positive
IMG_007364,0.0,0.0,1,0,negative
IMG_007367,1.0,1.0,1,1,positive
IMG_007370,1.0,1.0,1,1,positive
IMG_007371,1.0,1.0,1,1,positive
IMG_007374,0.0,0.0,1,0,negative
IMG_007377,1.0,1.0,1,1,positive
IMG_007379,0.0,0.0,1,0,negative
IMG_007383,0.0,0.0,2,0,negative
IMG_007384,1.0,1.0,1,1,positive
IMG_007385,1.0,1.0,1,1,positive
IMG_007388,1.0,1.0,1,1,positive
IMG_007389,0.0,0.0,1,0,negative
IMG_007392,0.0,0.0,1,0,negative
IMG_007393,0.0,0.0,1,0,negative
IMG_007394,0.0,0.0,1,0,negative
IMG_007396,1.0,1.0,2,2,positive
IMG_007399,0.0,0.0,1,0,negative
IMG_007400,0.0,0.0,1,0,negative
IMG_007404,1.0,0.5,2,1,positive
IMG_007406,0.0,0.0,1,0,negative
IMG_007407,0.0,0.0,1,0,negative
IMG_007410,0.0,0.0,1,0,negative
IMG_007413,0.0,0.0,2,0,negative
IMG_007415,1.0,1.0,1,1,positive
IMG_007416,0.0,0.0,1,0,negative
IMG_007417,0.0,0.0,1,0,negative
IMG_007419,1.0,0.5,2,1,positive
IMG_007421,1.0,0.5,2,1,positive
IMG_007422,0.0,0.0,1,0,negative
IMG_007424,0.0,0.0,1,0,negative
IMG_007425,0.0,0.0,1,0,negative
IMG_007427,0.0,0.0,2,0,negative
IMG_007429,0.0,0.0,2,0,negative
IMG_007433,1.0,1.0,1,1,positive
IMG_007434,0.0,0.0,1,0,negative
IMG_007437,0.0,0.0,1,0,negative
IMG_007439,0.0,0.0,1,0,negative
IMG_007440,1.0,1.0,1,1,positive
IMG_007441,1.0,1.0,1,1,positive
IMG_007442,0.0,0.0,1,0,negative
IMG_007444,0.0,0.0,1,0,negative
IMG_007445,0.0,0.0,2,0,negative
IMG_007449,0.0,0.0,1,0,negative
IMG_007450,0.0,0.0,1,0,negative
IMG_007454,0.0,0.0,1,0,negative
IMG_007455,1.0,1.0,1,1,positive
IMG_007457,1.0,1.0,2,2,positive
IMG_007460,0.0,0.0,1,0,negative
IMG_007463,1.0,1.0,2,2,positive
IMG_007465,0.0,0.0,1,0,negative
IMG_007466,0.0,0.0,1,0,negative
IMG_007467,0.0,0.0,2,0,negative
IMG_007468,0.0,0.0,1,0,negative
IMG_007469,0.0,0.0,1,0,negative
IMG_007470,0.0,0.0,1,0,negative
IMG_007471,0.0,0.0,1,0,negative
IMG_007473,1.0,1.0,1,1,positive
IMG_007475,0.0,0.0,1,0,negative
IMG_007477,1.0,1.0,1,1,positive
IMG_007479,0.0,0.0,1,0,negative
IMG_007480,1.0,1.0,2,2,positive
IMG_007482,0.0,0.0,2,0,negative
IMG_007484,0.0,0.0,1,0,negative
IMG_007485,0.0,0.0,2,0,negative
IMG_007487,0.0,0.0,2,0,negative
IMG_007488,0.0,0.0,2,0,negative
IMG_007491,0.0,0.0,1,0,negative
IMG_007492,0.0,0.0,2,0,negative
IMG_007494,0.0,0.0,1,0,negative
IMG_007497,0.0,0.0,2,0,negative
IMG_007498,0.0,0.0,2,0,negative
IMG_007499,0.0,0.0,1,0,negative
