media_id,selected_rank,image_path,bbox,view_a_sha
IMG_007350,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007350__r01.jpg,"[598.911,189.18,1296.541,737.65]",32d667f035c7cc811a787b129689b99a1aea040c753350544eefbfd3480b803a
IMG_007355,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007355__r01.jpg,"[447.61,168.868,1357.229,707.876]",2961f5e2f165c62d7a834af444c5835f91f4302449f7d80eb1564f2cff2be85a
IMG_007357,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007357__r01.jpg,"[665.745,131.485,1554.217,707.123]",9c05ed62d4980bc0485ee6874ff4b86a949680a1b0eb7e9a9859cb012b810673
IMG_007358,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007358__r01.jpg,"[677.752,159.636,1187.195,644.409]",851113e92214e608f1a28eff772a04303db1f624a5ff87390ce4949e8ae408dc
IMG_007359,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007359__r01.jpg,"[433.557,19.645,1363.768,693.214]",201b36e62b1e66cac47b2636c08b20ab11ed5ee5ec45f84b221eb2fbd9e51bcf
IMG_007359,2,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007359__r02.jpg,"[431.227,24.115,1363.002,691.374]",1c7bf60ab7bda0d8659faaebc0bc0e1ecceb44ee74e000a79e2a1181ba84bf0a
IMG_007360,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007360__r01.jpg,"[691.802,58.213,1442.537,681.608]",75135d916883ac6097210e81010eeedd81f73807eb932f773074195ba9fbc37c
IMG_007361,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007361__r01.jpg,"[423.346,95.629,1416.277,704.553]",838694ad3df577c6b0338de47cc350b29da99a985dfdef88057ab89d677d8f0b
IMG_007361,2,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007361__r02.jpg,"[423.346,96.641,1417.215,704.515]",c5795d44d43116074f1987a54a686e0641efff7213d73a397a4725a12f66f960
IMG_007363,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007363__r01.jpg,"[598.57,181.389,1316.243,696.498]",14edc5f715ced6ffa2811fafa00c867d7a01a4f1ecc2c70fea6567ccacca1618
IMG_007364,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007364__r01.jpg,"[242.259,122.129,1364.877,792.513]",11da55271d54cffc66b20fc8ec25bb78bad05e66f4bb9791ea2e59406a28f8ff
IMG_007367,1,/home/yanbo/net_vlm_parking_p4_clean_v2/27_parkscope_qwen_stacked_fusion_p4_bytefrozen/_local_view_a/IMG_007367__r01.jpg,"[277.649,149.424,1326.196,822.936]",132a4aeab5bf0653db11bd64ac9b18c68ac1a5b44afc78b1612cd9b88618e4de
