outer_fold,media_id,inner_fold,label_binary
0,IMG_007355,3,0
0,IMG_007357,1,0
0,IMG_007358,1,0
0,IMG_007359,0,0
0,IMG_007361,3,0
0,IMG_007363,0,0
0,IMG_007364,0,0
0,IMG_007367,3,0
0,IMG_007371,1,0
0,IMG_007374,2,0
0,IMG_007377,0,0
0,IMG_007379,1,0
0,IMG_007383,0,0
0,IMG_007384,0,0
0,IMG_007388,2,0
0,IMG_007389,3,0
0,IMG_007393,3,0
0,IMG_007394,0,0
0,IMG_007396,1,0
0,IMG_007399,3,0
0,IMG_007404,3,0
0,IMG_007406,2,0
0,IMG_007407,2,0
0,IMG_007410,3,0
0,IMG_007415,0,0
0,IMG_007416,1,0
0,IMG_007417,1,0
0,IMG_007419,2,0
0,IMG_007422,2,0
0,IMG_007424,0,0
0,IMG_007425,0,0
0,IMG_007427,2,0
0,IMG_007433,3,0
0,IMG_007434,0,0
0,IMG_007437,2,0
0,IMG_007439,1,0
0,IMG_007440,3,0
0,IMG_007442,0,0
0,IMG_007444,0,0
0,IMG_007445,3,0
0,IMG_007449,2,0
0,IMG_007450,0,0
0,IMG_007455,3,0
0,IMG_007457,2,0
0,IMG_007460,0,0
0,IMG_007463,3,0
0,IMG_007466,2,0
0,IMG_007467,2,0
0,IMG_007469,1,0
0,IMG_007470,2,0
0,IMG_007471,2,0
0,IMG_007473,2,0
0,IMG_007475,3,0
0,IMG_007479,1,0
0,IMG_007480,0,0
0,IMG_007482,3,0
0,IMG_007484,1,0
0,IMG_007487,2,0
0,IMG_007488,3,0
0,IMG_007491,1,0
0,IMG_007492,1,0
0,IMG_007497,0,0
0,IMG_007498,1,0
0,IMG_007499,2,0
0,IMG_007503,3,0
0,IMG_007506,1,0
0,IMG_007507,1,0
0,IMG_007508,3,0
0,IMG_007511,0,0
0,IMG_007512,3,0
0,IMG_007514,1,0
0,IMG_007516,2,0
0,IMG_007519,0,0
0,IMG_007520,3,1
0,IMG_007521,3,1
0,IMG_007527,1,1
0,IMG_007531,3,1
0,IMG_007533,1,1
0,IMG_007534,1,1
0,IMG_007539,1,1
0,IMG_007542,1,1
0,IMG_007547,2,1
0,IMG_007548,1,1
0,IMG_007549,3,1
0,IMG_007552,3,1
0,IMG_007555,0,1
0,IMG_007556,2,1
0,IMG_007558,3,1
0,IMG_007560,2,1
0,IMG_007562,1,0
0,IMG_007564,1,0
0,IMG_007571,3,1
0,IMG_007577,0,0
0,IMG_007580,1,1
0,IMG_007581,0,0
0,IMG_007584,0,1
0,IMG_007585,2,1
0,IMG_007587,0,1
0,IMG_007588,2,1
0,IMG_007592,0,0
0,IMG_007593,0,0
0,IMG_007598,0,1
0,IMG_007601,0,1
0,IMG_007602,3,1
0,IMG_007603,3,1
0,IMG_007608,2,1
0,IMG_007609,2,1
0,IMG_007611,2,1
0,IMG_007614,1,1
0,IMG_007617,2,1
0,IMG_007618,0,1
0,IMG_007626,3,0
0,IMG_007631,1,0
0,IMG_007632,2,1
0,IMG_007634,3,1
0,IMG_007635,1,0
0,IMG_007642,0,0
0,IMG_007643,2,0
0,IMG_007646,0,1
0,IMG_007647,1,0
0,IMG_007650,0,1
0,IMG_007652,3,0
0,IMG_007654,2,0
0,IMG_007655,2,0
0,IMG_007658,1,1
0,IMG_007659,0,1
0,IMG_007661,2,0
0,IMG_007665,2,0
0,IMG_007672,1,0
0,IMG_007673,3,0
0,IMG_007674,3,0
0,IMG_007675,1,0
1,IMG_007350,3,0
1,IMG_007357,1,0
1,IMG_007358,2,0
1,IMG_007359,1,0
1,IMG_007360,2,0
1,IMG_007363,3,0
1,IMG_007364,3,0
1,IMG_007367,0,0
1,IMG_007370,2,0
1,IMG_007371,2,0
1,IMG_007374,1,0
1,IMG_007379,2,0
1,IMG_007384,1,0
1,IMG_007385,0,0
1,IMG_007388,3,0
1,IMG_007389,0,0
1,IMG_007392,2,0
1,IMG_007394,1,0
1,IMG_007396,1,0
1,IMG_007399,0,0
1,IMG_007400,3,0
1,IMG_007406,3,0
1,IMG_007407,3,0
1,IMG_007410,2,0
1,IMG_007413,0,0
1,IMG_007415,0,0
1,IMG_007417,1,0
1,IMG_007419,1,0
1,IMG_007421,2,0
1,IMG_007422,3,0
1,IMG_007425,0,0
1,IMG_007427,0,0
1,IMG_007429,2,0
1,IMG_007434,2,0
1,IMG_007437,3,0
1,IMG_007439,1,0
1,IMG_007440,0,0
1,IMG_007441,0,0
1,IMG_007444,3,0
1,IMG_007445,0,0
1,IMG_007449,0,0
1,IMG_007450,2,0
1,IMG_007454,3,0
1,IMG_007457,0,0
1,IMG_007460,0,0
1,IMG_007463,2,0
1,IMG_007465,3,0
1,IMG_007467,2,0
1,IMG_007468,1,0
1,IMG_007470,1,0
1,IMG_007471,1,0
1,IMG_007473,0,0
1,IMG_007477,1,0
1,IMG_007479,0,0
1,IMG_007480,0,0
1,IMG_007482,3,0
1,IMG_007485,2,0
1,IMG_007487,1,0
1,IMG_007488,3,0
1,IMG_007491,1,0
1,IMG_007492,0,0
1,IMG_007494,2,0
1,IMG_007498,3,0
1,IMG_007499,3,0
1,IMG_007500,2,0
1,IMG_007506,1,0
1,IMG_007507,3,0
1,IMG_007508,3,0
1,IMG_007509,0,0
1,IMG_007512,3,0
1,IMG_007514,1,0
1,IMG_007516,2,0
1,IMG_007517,1,0
1,IMG_007519,2,0
1,IMG_007521,2,1
1,IMG_007527,0,1
1,IMG_007530,2,1
1,IMG_007533,1,1
1,IMG_007534,1,1
1,IMG_007539,0,1
1,IMG_007541,1,1
1,IMG_007547,3,1
1,IMG_007548,3,1
1,IMG_007549,3,1
1,IMG_007552,1,1
1,IMG_007554,3,1
1,IMG_007556,1,1
1,IMG_007558,0,1
1,IMG_007559,3,1
1,IMG_007560,3,1
1,IMG_007564,0,0
1,IMG_007571,0,1
1,IMG_007575,1,0
1,IMG_007580,2,1
1,IMG_007581,2,0
1,IMG_007584,0,1
1,IMG_007585,2,1
1,IMG_007586,1,1
1,IMG_007588,3,1
1,IMG_007592,1,0
1,IMG_007594,0,1
1,IMG_007598,2,1
1,IMG_007601,0,1
1,IMG_007602,0,1
1,IMG_007606,1,1
1,IMG_007608,3,1
1,IMG_007609,0,1
1,IMG_007611,2,1
1,IMG_007612,2,1
1,IMG_007617,0,1
1,IMG_007618,2,1
1,IMG_007626,1,0
1,IMG_007627,2,0
1,IMG_007631,2,0
1,IMG_007634,1,1
1,IMG_007635,3,0
1,IMG_007637,0,0
1,IMG_007643,0,0
1,IMG_007646,1,1
1,IMG_007647,0,0
1,IMG_007648,2,0
1,IMG_007652,1,0
1,IMG_007654,3,0
1,IMG_007655,0,0
1,IMG_007656,3,1
1,IMG_007659,2,1
1,IMG_007661,2,0
1,IMG_007665,3,0
1,IMG_007667,1,0
1,IMG_007673,3,0
1,IMG_007674,1,0
1,IMG_007675,2,0
1,IMG_007676,3,0
2,IMG_007350,1,0
2,IMG_007355,2,0
2,IMG_007358,2,0
2,IMG_007359,3,0
2,IMG_007360,3,0
2,IMG_007361,1,0
2,IMG_007363,3,0
2,IMG_007364,0,0
2,IMG_007370,0,0
2,IMG_007374,1,0
2,IMG_007377,0,0
2,IMG_007379,0,0
2,IMG_007383,3,0
2,IMG_007384,2,0
2,IMG_007385,3,0
2,IMG_007389,3,0
2,IMG_007392,3,0
2,IMG_007393,0,0
2,IMG_007396,2,0
2,IMG_007399,0,0
2,IMG_007400,0,0
2,IMG_007404,1,0
2,IMG_007407,0,0
2,IMG_007410,1,0
2,IMG_007413,1,0
2,IMG_007415,3,0
2,IMG_007416,3,0
2,IMG_007419,1,0
2,IMG_007421,2,0
2,IMG_007422,1,0
2,IMG_007424,2,0
2,IMG_007427,2,0
2,IMG_007429,2,0
2,IMG_007433,2,0
2,IMG_007437,2,0
2,IMG_007439,2,0
2,IMG_007440,2,0
2,IMG_007441,0,0
2,IMG_007442,0,0
2,IMG_007444,0,0
2,IMG_007450,1,0
2,IMG_007454,3,0
2,IMG_007455,0,0
2,IMG_007457,2,0
2,IMG_007463,0,0
2,IMG_007465,3,0
2,IMG_007466,3,0
2,IMG_007467,3,0
2,IMG_007468,1,0
2,IMG_007469,1,0
2,IMG_007471,0,0
2,IMG_007473,1,0
2,IMG_007475,1,0
2,IMG_007477,3,0
2,IMG_007480,2,0
2,IMG_007482,1,0
2,IMG_007484,0,0
2,IMG_007485,1,0
2,IMG_007488,1,0
2,IMG_007491,0,0
2,IMG_007494,3,0
2,IMG_007497,0,0
2,IMG_007498,1,0
2,IMG_007499,2,0
2,IMG_007500,3,0
2,IMG_007503,2,0
2,IMG_007507,2,0
2,IMG_007508,2,0
2,IMG_007509,3,0
2,IMG_007511,1,0
2,IMG_007514,3,0
2,IMG_007516,3,0
2,IMG_007517,3,0
2,IMG_007519,0,0
2,IMG_007520,2,1
2,IMG_007527,3,1
2,IMG_007530,1,1
2,IMG_007531,2,1
2,IMG_007533,3,1
2,IMG_007534,0,1
2,IMG_007541,1,1
2,IMG_007542,1,1
2,IMG_007547,1,1
2,IMG_007549,1,1
2,IMG_007552,0,1
2,IMG_007554,1,1
2,IMG_007555,0,1
2,IMG_007558,3,1
2,IMG_007559,0,1
2,IMG_007560,2,1
2,IMG_007562,0,0
2,IMG_007571,2,1
2,IMG_007575,2,0
2,IMG_007577,3,0
2,IMG_007581,1,0
2,IMG_007584,3,1
2,IMG_007585,0,1
2,IMG_007586,0,1
2,IMG_007587,3,1
2,IMG_007592,0,0
2,IMG_007593,0,0
2,IMG_007594,2,1
2,IMG_007601,3,1
2,IMG_007602,1,1
2,IMG_007603,0,1
2,IMG_007606,0,1
2,IMG_007609,2,1
2,IMG_007611,1,1
2,IMG_007612,0,1
2,IMG_007614,0,1
2,IMG_007617,3,1
2,IMG_007626,1,0
2,IMG_007627,2,0
2,IMG_007632,1,1
2,IMG_007634,2,1
2,IMG_007635,0,0
2,IMG_007637,2,0
2,IMG_007642,2,0
2,IMG_007646,2,1
2,IMG_007647,2,0
2,IMG_007648,1,0
2,IMG_007650,3,1
2,IMG_007654,2,0
2,IMG_007655,3,0
2,IMG_007656,3,1
2,IMG_007658,3,1
2,IMG_007659,2,1
2,IMG_007665,3,0
2,IMG_007667,0,0
2,IMG_007672,1,0
2,IMG_007674,1,0
2,IMG_007675,1,0
2,IMG_007676,0,0
3,IMG_007350,2,0
3,IMG_007355,2,0
3,IMG_007357,3,0
3,IMG_007359,2,0
3,IMG_007360,0,0
3,IMG_007361,3,0
3,IMG_007364,0,0
3,IMG_007367,0,0
3,IMG_007370,1,0
3,IMG_007371,1,0
3,IMG_007377,2,0
3,IMG_007379,3,0
3,IMG_007383,0,0
3,IMG_007384,0,0
3,IMG_007385,3,0
3,IMG_007388,0,0
3,IMG_007392,1,0
3,IMG_007393,0,0
3,IMG_007394,3,0
3,IMG_007396,1,0
3,IMG_007400,3,0
3,IMG_007404,0,0
3,IMG_007406,0,0
3,IMG_007410,2,0
3,IMG_007413,0,0
3,IMG_007416,2,0
3,IMG_007417,1,0
3,IMG_007419,0,0
3,IMG_007421,3,0
3,IMG_007424,3,0
3,IMG_007425,0,0
3,IMG_007427,0,0
3,IMG_007429,2,0
3,IMG_007433,3,0
3,IMG_007434,3,0
3,IMG_007439,3,0
3,IMG_007441,3,0
3,IMG_007442,1,0
3,IMG_007444,3,0
3,IMG_007445,2,0
3,IMG_007449,3,0
3,IMG_007454,1,0
3,IMG_007455,1,0
3,IMG_007457,0,0
3,IMG_007460,1,0
3,IMG_007465,2,0
3,IMG_007466,1,0
3,IMG_007467,3,0
3,IMG_007468,2,0
3,IMG_007469,3,0
3,IMG_007470,1,0
3,IMG_007473,0,0
3,IMG_007475,1,0
3,IMG_007477,1,0
3,IMG_007479,2,0
3,IMG_007482,0,0
3,IMG_007484,2,0
3,IMG_007485,2,0
3,IMG_007487,2,0
3,IMG_007491,1,0
3,IMG_007492,0,0
3,IMG_007494,1,0
3,IMG_007497,3,0
3,IMG_007498,3,0
3,IMG_007500,0,0
3,IMG_007503,3,0
3,IMG_007506,0,0
3,IMG_007508,2,0
3,IMG_007509,3,0
3,IMG_007511,2,0
3,IMG_007512,1,0
3,IMG_007514,2,0
3,IMG_007517,2,0
3,IMG_007519,2,0
3,IMG_007520,2,1
3,IMG_007521,0,1
3,IMG_007530,1,1
3,IMG_007531,2,1
3,IMG_007534,3,1
3,IMG_007539,3,1
3,IMG_007541,0,1
3,IMG_007542,1,1
3,IMG_007548,2,1
3,IMG_007549,2,1
3,IMG_007552,0,1
3,IMG_007554,3,1
3,IMG_007555,1,1
3,IMG_007556,1,1
3,IMG_007559,2,1
3,IMG_007560,0,1
3,IMG_007562,1,0
3,IMG_007564,0,0
3,IMG_007575,0,0
3,IMG_007577,1,0
3,IMG_007580,1,1
3,IMG_007581,1,0
3,IMG_007586,1,1
3,IMG_007587,0,1
3,IMG_007588,0,1
3,IMG_007592,0,0
3,IMG_007593,2,0
3,IMG_007594,3,1
3,IMG_007598,2,1
3,IMG_007602,0,1
3,IMG_007603,1,1
3,IMG_007606,0,1
3,IMG_007608,2,1
3,IMG_007611,2,1
3,IMG_007612,3,1
3,IMG_007614,1,1
3,IMG_007617,3,1
3,IMG_007618,2,1
3,IMG_007627,3,0
3,IMG_007631,2,0
3,IMG_007632,3,1
3,IMG_007634,3,1
3,IMG_007637,0,0
3,IMG_007642,0,0
3,IMG_007643,1,0
3,IMG_007647,3,0
3,IMG_007648,1,0
3,IMG_007650,1,1
3,IMG_007652,1,0
3,IMG_007655,2,0
3,IMG_007656,0,1
3,IMG_007658,3,1
3,IMG_007661,2,0
3,IMG_007665,3,0
3,IMG_007667,1,0
3,IMG_007672,0,0
3,IMG_007673,1,0
3,IMG_007675,3,0
3,IMG_007676,2,0
4,IMG_007350,3,0
4,IMG_007355,3,0
4,IMG_007357,2,0
4,IMG_007358,1,0
4,IMG_007360,2,0
4,IMG_007361,3,0
4,IMG_007363,0,0
4,IMG_007367,2,0
4,IMG_007370,0,0
4,IMG_007371,0,0
4,IMG_007374,3,0
4,IMG_007377,2,0
4,IMG_007383,1,0
4,IMG_007385,3,0
4,IMG_007388,2,0
4,IMG_007389,1,0
4,IMG_007392,0,0
4,IMG_007393,0,0
4,IMG_007394,1,0
4,IMG_007399,3,0
4,IMG_007400,1,0
4,IMG_007404,1,0
4,IMG_007406,0,0
4,IMG_007407,3,0
4,IMG_007413,1,0
4,IMG_007415,3,0
4,IMG_007416,2,0
4,IMG_007417,2,0
4,IMG_007421,3,0
4,IMG_007422,2,0
4,IMG_007424,1,0
4,IMG_007425,0,0
4,IMG_007429,0,0
4,IMG_007433,3,0
4,IMG_007434,2,0
4,IMG_007437,3,0
4,IMG_007440,3,0
4,IMG_007441,1,0
4,IMG_007442,1,0
4,IMG_007445,2,0
4,IMG_007449,0,0
4,IMG_007450,1,0
4,IMG_007454,0,0
4,IMG_007455,0,0
4,IMG_007460,0,0
4,IMG_007463,1,0
4,IMG_007465,0,0
4,IMG_007466,3,0
4,IMG_007468,3,0
4,IMG_007469,1,0
4,IMG_007470,3,0
4,IMG_007471,3,0
4,IMG_007475,2,0
4,IMG_007477,0,0
4,IMG_007479,0,0
4,IMG_007480,3,0
