media_id,outer_fold,outer_validation_p3_probability
IMG_007350,0,0.5034258961677551
IMG_007355,1,0.6578094363212585
IMG_007357,2,0.44217127561569214
IMG_007358,3,0.6601109504699707
IMG_007359,4,0.6560841798782349
IMG_007360,0,0.17812277376651764
IMG_007361,1,0.4580419659614563
IMG_007363,3,0.830775260925293
IMG_007364,4,0.3046354055404663
IMG_007367,2,0.1369626820087433
IMG_007370,0,0.15776708722114563
IMG_007371,2,0.2244442105293274
IMG_007374,3,0.09681999683380127
IMG_007377,1,0.49113619327545166
IMG_007379,4,0.30062222480773926
IMG_007383,1,0.5815189480781555
IMG_007384,4,0.20375850796699524
IMG_007385,0,0.4725381135940552
IMG_007388,2,0.4188898503780365
IMG_007389,3,0.12957273423671722
IMG_007392,0,0.16465073823928833
IMG_007393,1,0.5128291249275208
IMG_007394,2,0.5719173550605774
IMG_007396,4,0.7189004421234131
IMG_007399,3,0.5169652104377747
IMG_007400,0,0.6151848435401917
IMG_007404,1,0.49606454372406006
IMG_007406,2,0.6639765501022339
IMG_007407,3,0.050312597304582596
IMG_007410,4,0.5023581981658936
IMG_007413,0,0.6924613118171692
IMG_007415,3,0.6568038463592529
IMG_007416,1,0.6908971071243286
IMG_007417,2,0.3449232280254364
IMG_007419,4,0.8054611682891846
IMG_007421,0,0.31290072202682495
IMG_007422,3,0.10632526129484177
IMG_007424,1,0.6113625168800354
IMG_007425,2,0.5737887620925903
IMG_007427,4,0.6601846218109131
IMG_007429,0,0.18552106618881226
IMG_007433,1,0.5494630336761475
IMG_007434,2,0.4163306653499603
IMG_007437,3,0.24942328035831451
IMG_007439,4,0.5603768825531006
IMG_007440,3,0.2227334827184677
IMG_007441,0,0.11876028776168823
IMG_007442,1,0.3364952802658081
IMG_007444,4,0.3106141686439514
IMG_007445,2,0.5150275230407715
IMG_007449,2,0.07391037046909332
IMG_007450,3,0.3362851142883301
IMG_007454,0,0.2841606140136719
IMG_007455,1,0.7671713829040527
IMG_007457,4,0.32069283723831177
IMG_007460,2,0.5756573677062988
IMG_007463,3,0.12791435420513153
IMG_007465,0,0.6792014837265015
IMG_007466,1,0.42039865255355835
IMG_007467,4,0.7178791761398315
IMG_007468,0,0.024035649374127388
IMG_007469,1,0.5314891338348389
IMG_007470,2,0.4702741801738739
IMG_007471,3,0.4036020040512085
IMG_007473,4,0.6875033974647522
IMG_007475,1,0.300751268863678
IMG_007477,0,0.7229950428009033
IMG_007479,2,0.6165347099304199
IMG_007480,3,0.10512562096118927
IMG_007482,4,0.5951904058456421
IMG_007484,1,0.6696121692657471
IMG_007485,0,0.8502630591392517
IMG_007487,2,0.5784751772880554
IMG_007488,3,0.6770174503326416
IMG_007491,4,0.6272487640380859
IMG_007492,2,0.6759563088417053
IMG_007494,0,0.3298656940460205
IMG_007497,1,0.7189549207687378
IMG_007498,4,0.3301578164100647
IMG_007499,3,0.427819162607193
IMG_007500,0,0.31523191928863525
IMG_007503,1,0.8878816366195679
IMG_007506,2,0.5930941700935364
