media_id,outer_fold,p3_probability,qwen_frame_positive,qwen_candidate_fraction,p4_hybrid_probability
IMG_007350,0,0.5034258961677551,0.0,0.0,0.32829270510777525
IMG_007355,1,0.6578094363212585,0.0,0.0,0.38819689367682436
IMG_007357,2,0.44217127561569214,0.0,0.0,0.2569302283819802
IMG_007358,3,0.6601109504699707,0.0,0.0,0.38359176942777823
IMG_007359,4,0.6560841798782349,0.0,0.0,0.4482477616439615
IMG_007360,0,0.17812277376651764,1.0,1.0,0.6381219910432872
IMG_007361,1,0.4580419659614563,1.0,1.0,0.7206904306175089
IMG_007363,3,0.830775260925293,1.0,1.0,0.7541221061403451
IMG_007364,4,0.3046354055404663,0.0,0.0,0.28862745534366663
IMG_007367,2,0.1369626820087433,1.0,1.0,0.42359708500785487
IMG_007370,0,0.15776708722114563,1.0,1.0,0.6328270752323556
IMG_007371,2,0.2244442105293274,1.0,1.0,0.5069929779698558
IMG_007374,3,0.09681999683380127,0.0,0.0,0.27280387411792056
IMG_007377,1,0.49113619327545166,1.0,1.0,0.7309066939531011
IMG_007379,4,0.30062222480773926,0.0,0.0,0.28700234370141053
IMG_007383,1,0.5815189480781555,0.0,0.0,0.3604880820465995
IMG_007384,4,0.20375850796699524,1.0,1.0,0.568376130723998
IMG_007385,0,0.4725381135940552,1.0,1.0,0.7105034460676465
IMG_007388,2,0.4188898503780365,1.0,1.0,0.6845578907048836
IMG_007389,3,0.12957273423671722,0.0,0.0,0.2786807411514655
IMG_007392,0,0.16465073823928833,0.0,0.0,0.2504266387649499
IMG_007393,1,0.5128291249275208,0.0,0.0,0.3363050357377422
IMG_007394,2,0.5719173550605774,0.0,0.0,0.36270141926459804
IMG_007396,4,0.7189004421234131,1.0,1.0,0.7846410652500428
IMG_007399,3,0.5169652104377747,0.0,0.0,0.3536700083244107
IMG_007400,0,0.6151848435401917,0.0,0.0,0.3565386098798693
IMG_007404,1,0.49606454372406006,1.0,0.5,0.5738045465926097
IMG_007406,2,0.6639765501022339,0.0,0.0,0.44767266830370295
IMG_007407,3,0.050312597304582596,0.0,0.0,0.26459332456005696
IMG_007410,4,0.5023581981658936,0.0,0.0,0.3748543366125565
IMG_007413,0,0.6924613118171692,0.0,0.0,0.3766848503884627
IMG_007415,3,0.6568038463592529,1.0,1.0,0.7240033510952785
IMG_007416,1,0.6908971071243286,0.0,0.0,0.4004550721747029
IMG_007417,2,0.3449232280254364,0.0,0.0,0.19224403204654444
IMG_007419,4,0.8054611682891846,1.0,0.5,0.6548149260721117
IMG_007421,0,0.31290072202682495,1.0,0.5,0.4603398688238317
IMG_007422,3,0.10632526129484177,0.0,0.0,0.2745014197350939
IMG_007424,1,0.6113625168800354,0.0,0.0,0.3712284416096252
IMG_007425,2,0.5737887620925903,0.0,0.0,0.3643644781350084
IMG_007427,4,0.6601846218109131,0.0,0.0,0.4502520575175476
IMG_007429,0,0.18552106618881226,0.0,0.0,0.25485155073627147
IMG_007433,1,0.5494630336761475,1.0,1.0,0.7483269875948603
IMG_007434,2,0.4163306653499603,0.0,0.0,0.23844319413369275
IMG_007437,3,0.24942328035831451,0.0,0.0,0.3008338628103648
IMG_007439,4,0.5603768825531006,0.0,0.0,0.4020746737633047
IMG_007440,3,0.2227334827184677,1.0,1.0,0.6397774780106248
IMG_007441,0,0.11876028776168823,1.0,1.0,0.622591473679717
IMG_007442,1,0.3364952802658081,0.0,0.0,0.2782118821945132
IMG_007444,4,0.3106141686439514,0.0,0.0,0.2910586282251718
IMG_007445,2,0.5150275230407715,0.0,0.0,0.3138545330519791
IMG_007449,2,0.07391037046909332,0.0,0.0,0.07752948402309216
IMG_007450,3,0.3362851142883301,0.0,0.0,0.31749981727328996
IMG_007454,0,0.2841606140136719,0.0,0.0,0.2764505684333756
IMG_007455,1,0.7671713829040527,1.0,1.0,0.8065017673600356
IMG_007457,4,0.32069283723831177,1.0,1.0,0.6239244200770137
IMG_007460,2,0.5756573677062988,0.0,0.0,0.36602828600420484
IMG_007463,3,0.12791435420513153,1.0,1.0,0.6199189495535975
IMG_007465,0,0.6792014837265015,0.0,0.0,0.3731952791286407
IMG_007466,1,0.42039865255355835,0.0,0.0,0.3050868582811953
IMG_007467,4,0.7178791761398315,0.0,0.0,0.47859470439258195
IMG_007468,0,0.024035649374127388,0.0,0.0,0.22196717429642399
IMG_007469,1,0.5314891338348389,0.0,0.0,0.3427964376411505
IMG_007470,2,0.4702741801738739,0.0,0.0,0.27807144361612696
