threshold,TP,FP,TN,FN,precision,recall,f1,fpr,coverage,safe
0.05,47,119,0,0,0.28313253012048195,1.0,0.44131455399061037,1.0,1.0,False
0.10,46,118,1,1,0.2804878048780488,0.9787234042553191,0.4360189573459715,0.9915966386554622,1.0,False
0.15,45,118,1,2,0.27607361963190186,0.9574468085106383,0.42857142857142855,0.9915966386554622,1.0,False
0.20,45,117,2,2,0.2777777777777778,0.9574468085106383,0.4306220095693781,0.9831932773109243,1.0,False
0.25,45,114,5,2,0.2830188679245283,0.9574468085106383,0.43689320388349506,0.957983193277311,1.0,False
0.30,43,92,27,4,0.31851851851851853,0.9148936170212766,0.47252747252747257,0.773109243697479,1.0,False
0.35,40,82,37,7,0.32786885245901637,0.851063829787234,0.4733727810650887,0.6890756302521008,1.0,False
0.40,35,55,64,12,0.3888888888888889,0.7446808510638298,0.510948905109489,0.46218487394957986,1.0,False
0.45,32,40,79,15,0.4444444444444444,0.6808510638297872,0.5378151260504203,0.33613445378151263,1.0,False
0.50,30,33,86,17,0.47619047619047616,0.6382978723404256,0.5454545454545455,0.2773109243697479,1.0,False
0.55,27,31,88,20,0.46551724137931033,0.574468085106383,0.5142857142857143,0.2605042016806723,1.0,False
0.60,27,28,91,20,0.4909090909090909,0.574468085106383,0.5294117647058822,0.23529411764705882,1.0,False
0.65,26,20,99,21,0.5652173913043478,0.5531914893617021,0.5591397849462365,0.16806722689075632,1.0,False
0.70,20,15,104,27,0.5714285714285714,0.425531914893617,0.4878048780487805,0.12605042016806722,1.0,False
0.75,14,6,113,33,0.7,0.2978723404255319,0.417910447761194,0.05042016806722689,1.0,False
0.80,5,1,118,42,0.8333333333333334,0.10638297872340426,0.18867924528301885,0.008403361344537815,1.0,False
0.85,3,0,119,44,1.0,0.06382978723404255,0.12,0.0,1.0,True
0.90,0,0,119,47,0.0,0.0,0.0,0.0,1.0,False
0.95,0,0,119,47,0.0,0.0,0.0,0.0,1.0,False
