media_id,outer_fold,p3_probability,qwen_frame_positive,qwen_candidate_fraction,p4_hybrid_probability,label_binary,group_key,winner_threshold,strict_prediction
IMG_007594,0,0.37433135509490967,0.0,0.0,0.297155244984182,1,p03-span-two-bays,0.85,negative
IMG_007598,2,0.445015013217926,1.0,1.0,0.7058139377527534,1,p03-span-two-bays,0.85,negative
IMG_007601,3,0.5308864712715149,1.0,1.0,0.700833804704302,1,p03-span-two-bays,0.85,negative
IMG_007602,4,0.7363559603691101,1.0,1.0,0.7904110034381486,1,p03-span-two-bays,0.85,negative
IMG_007603,1,0.5195521116256714,0.0,0.0,0.33863685406015503,1,p03-span-two-bays,0.85,negative
IMG_007606,0,0.6032296419143677,0.0,0.0,0.353464659327149,1,p03-span-two-bays,0.85,negative
IMG_007608,2,0.2208203673362732,0.0,0.0,0.12873982957553942,1,p03-span-two-bays,0.85,negative
IMG_007609,3,0.8872630596160889,0.0,0.0,0.4328491153772608,1,p03-span-two-bays,0.85,negative
IMG_007611,4,0.8327990174293518,0.0,0.0,0.5352805123283813,1,p03-span-two-bays,0.85,negative
IMG_007612,0,0.5297740697860718,0.0,0.0,0.3348500043673377,1,p03-span-two-bays,0.85,negative
IMG_007614,1,0.42314210534095764,0.0,0.0,0.30598989146005284,1,p03-span-two-bays,0.85,negative
IMG_007617,4,0.6792356967926025,1.0,1.0,0.771104859414573,1,p03-span-two-bays,0.85,negative
IMG_007618,2,0.5644261240959167,0.0,0.0,0.35607737029764114,1,p03-span-two-bays,0.85,negative
