group_key,total,TP,FP,TN,FN,precision,recall,f1,fpr,coverage
hn02-faded-lines-but-confirmably-inside,5,0,0,5,0,0.0,0.0,0.0,0.0,1.0
hn03-perspective-looks-like-crossing,5,0,0,5,0,0.0,0.0,0.0,0.0,1.0
hn04-large-vehicle-compliant,5,0,0,5,0,0.0,0.0,0.0,0.0,1.0
hn05-adjacent-vehicle-occludes-lines,5,0,0,5,0,0.0,0.0,0.0,0.0,1.0
hn06-shadows-cracks-curbs-mimic-lines,5,0,0,5,0,0.0,0.0,0.0,0.0,1.0
n01-standard-inside-bay,16,0,0,16,0,0.0,0.0,0.0,0.0,1.0
n02-close-to-line-but-inside,12,0,0,12,0,0.0,0.0,0.0,0.0,1.0
n03-diagonal-bay-correct,9,0,0,9,0,0.0,0.0,0.0,0.0,1.0
n04-parallel-bay-correct,9,0,0,9,0,0.0,0.0,0.0,0.0,1.0
n05-multiple-all-correct,9,0,0,9,0,0.0,0.0,0.0,0.0,1.0
n06-special-marked-space-geometry-correct,12,0,0,12,0,0.0,0.0,0.0,0.0,1.0
p01-outside-legal-bay-clear,18,3,0,0,15,1.0,0.16666666666666666,0.2857142857142857,0.0,1.0
p02-cross-single-boundary-line,16,0,0,7,9,0.0,0.0,0.0,0.0,1.0
p03-span-two-bays,13,0,0,0,13,0.0,0.0,0.0,0.0,1.0
p04-angled-footprint-outside,10,0,0,7,3,0.0,0.0,0.0,0.0,1.0
p05-multi-vehicle-at-least-one-violation,11,0,0,7,4,0.0,0.0,0.0,0.0,1.0
p06-nose-or-tail-intrudes-aisle,6,0,0,6,0,0.0,0.0,0.0,0.0,1.0
